"surf's up (2007)","34"
"rent (2005)","34"
"shutter island (2010)","33"
"definitely, maybe (2008)","33"
"wristcutters: a love story (2006)","33"
"battle in seattle (2007)","33"
"the brave one (2007)","33"
"julie & julia (2009)","33"
"the pledge (2001)","33"
"all the king's men (2006)","33"
"terra (2007)","33"
"elf (2003)","33"
"american violet (2008)","33"
"watchmen (2009)","33"
"before the devil knows you're dead (2007)","33"
"remember the titans (2000)","33"
"the sisterhood of the traveling pants 2 (2008)","33"
"the great buck howard (2008)","33"
"gosford park (2001)","33"
"dodgeball: a true underdog story (2004)","33"
"mona lisa smile (2003)","33"
"law abiding citizen (2009)","33"
"street kings (2008)","33"
"melinda and melinda (2004)","33"
"hancock (2008)","33"
"ladder 49 (2004)","33"
"after the sunset (2004)","33"
"art school confidential (2006)","33"
"wild hogs (2007)","32"
"robots (2005)","32"
"bee movie (2007)","32"
"monsters, inc. (2001)","32"
"funny people (2009)","32"
"step brothers (2008)","32"
"we own the night (2007)","32"
"imaginary heroes (2004)","31"
"pirates of the caribbean: the curse of the black pearl (2003)","31"
"fast & furious (2009)","31"
"riding in cars with boys (2001)","31"
"the notorious bettie page (2005)","31"
"terminator salvation (2009)","31"
"alice in wonderland (2010)","31"
"american gun (2005)","31"
"sunshine cleaning (2008)","31"
"good night, and good luck. (2005)","31"
"magnificent desolation: walking on the moon 3d (2005)","31"
"accepted (2006)","31"
"phone booth (2002)","31"
"august rush (2007)","31"
"the longest yard (2005)","31"
"confessions of a dangerous mind (2002)","31"
"3:10 to yuma (2007)","31"
"million dollar baby (2004)","31"
"recess: school's out (2001)","31"
"s1m0ne (2002)","31"
"indiana jones and the kingdom of the crystal skull (2008)","31"
"idiocracy (2006)","30"
"swordfish (2001)","30"
"the butterfly effect (2004)","30"
"the number 23 (2007)","30"
"something's gotta give (2003)","30"
"orange county (2002)","30"
"astro boy (2009)","30"
"leaves of grass (2009)","30"
"the golden compass (2007)","30"
"soul men (2008)","30"
"the majestic (2001)","30"
"charlotte's web (2006)","30"
"constantine (2005)","30"
"halloween (2007)","30"
"the village (2004)","30"
"little miss sunshine (2006)","30"
"we are marshall (2006)","30"
"over the hedge (2006)","30"
"frost/nixon (2008)","30"
"the maiden heist (2009)","30"
"shrek 2 (2004)","30"
"dreamer: inspired by a true story (2005)","29"
"igby goes down (2002)","29"
"gone baby gone (2007)","29"
"away we go (2009)","29"
"neo ned (2005)","29"
"the human stain (2003)","29"
"big trouble (2002)","29"
"nothing is private (2007)","29"
"who do you love (2008)","29"
"the ugly truth (2009)","29"
"beowulf (2007)","29"
"in her shoes (2005)","29"
"inside man (2006)","29"
"boiler room (2000)","29"
"pride and glory (2008)","29"
"tmnt (2007)","29"
"personal velocity: three portraits (2002)","29"
"the moguls (2005)","29"
"the informant! (2009)","29"
"finishing the game: the search for a new bruce lee (2007)","29"
"k-pax (2001)","29"
"the punisher (2004)","29"
"the gift (2000)","29"
"i am sam (2001)","29"
"the great debaters (2007)","29"
"bad boys ii (2003)","29"
"love actually (2003)","29"
"a guide to recognizing your saints (2006)","29"
"romance & cigarettes (2005)","29"
"kiss kiss bang bang (2005)","29"
"ghost world (2001)","29"
"paycheck (2003)","29"
"nine lives (2005)","29"
"factory girl (2006)","29"
"the kingdom (2007)","29"
"what women want (2000)","29"
"seven pounds (2008)","29"
"purple violets (2007)","29"
"strangers with candy (2005)","29"
"crossing over (2009)","29"
"the ant bully (2006)","29"
"the lucky ones (2008)","29"
"chicago (2002)","28"
"adaptation. (2002)","28"
"the salton sea (2002)","28"
"the tale of despereaux (2008)","28"
"land of the dead (2005)","28"
"nick and norah's infinite playlist (2008)","28"
"role models (2008)","28"
"the merry gentleman (2008)","28"
"o brother, where art thou? (2000)","28"
"madagascar (2005)","28"
"the invention of lying (2009)","28"
"the sentinel (2006)","28"
"tenacious d in the pick of destiny (2006)","28"
"27 dresses (2008)","28"
"a beautiful mind (2001)","27"
"monster (2003)","27"
"infamous (2006)","27"
"bottle shock (2008)","27"
"gladiator (2000)","27"
