proc	year
0	2
1	1
2	3
3	4
4	5
5	6
6	4
7	3
8	5
9	8
10	10
11	1
12	9
13	7
14	6
15	3
17	10
16	3
19	1
18	3
21	4
20	2
23	6
22	2
25	5
24	3
27	10
26	7
29	9
28	4
31	8
30	1
34	1
35	4
32	3
33	10
38	5
39	3
36	6
37	2
42	1
43	5
40	2
41	4
46	6
47	5
44	10
45	3
51	1
50	2
49	3
48	4
55	10
54	3
53	4
52	6
59	1
58	2
57	7
56	5
63	5
62	3
61	2
60	2
68	1
69	1
70	3
71	9
64	9
65	4
66	2
67	6
76	9
77	1
78	2
79	3
72	10
73	6
74	4
75	5
85	2
84	9
87	10
86	6
81	4
80	7
83	1
82	3
93	10
92	2
95	8
94	9
89	7
88	4
91	6
90	4
102	9
103	1
100	4
101	6
98	10
99	2
96	3
97	1
110	3
111	10
108	7
109	1
106	8
107	3
104	5
105	7
119	7
118	10
117	5
116	1
115	5
114	2
113	6
112	4
127	9
126	5
125	6
124	3
123	3
122	8
121	6
120	9
137	4
136	7
139	9
138	10
141	1
140	7
143	10
142	6
129	7
128	10
131	5
130	8
133	2
132	2
135	9
134	6
152	7
153	4
154	4
155	7
156	3
157	9
158	8
159	10
144	2
145	5
146	3
147	4
148	5
149	2
150	3
151	1
171	8
170	1
169	5
168	2
175	7
174	9
173	5
172	6
163	9
162	2
161	4
160	10
167	6
166	3
165	6
164	1
186	6
187	2
184	5
185	3
190	9
191	7
188	10
189	9
178	2
179	4
176	3
177	10
182	1
183	7
180	7
181	1
205	3
204	2
207	4
206	10
201	5
200	2
203	1
202	4
197	2
196	1
199	10
198	9
193	3
192	7
195	5
194	4
220	2
221	6
222	4
223	5
216	4
217	10
218	7
219	6
212	5
213	9
214	2
215	1
208	7
209	5
210	9
211	3
239	5
238	10
237	7
236	6
235	3
234	9
233	5
232	1
231	10
230	6
229	3
228	5
227	8
226	7
225	1
224	9
254	7
255	4
252	7
253	6
250	4
251	9
248	1
249	5
246	3
247	10
244	8
245	2
242	9
243	2
240	1
241	4
275	6
274	1
273	5
272	9
279	10
278	9
277	7
276	3
283	5
282	4
281	1
280	8
287	3
286	2
285	6
284	1
258	9
259	6
256	3
257	5
262	2
263	1
260	2
261	1
266	7
267	10
264	4
265	4
270	1
271	3
268	2
269	6
305	2
304	5
307	9
306	10
309	4
308	5
311	5
310	4
313	1
312	4
315	3
314	2
317	1
316	3
319	2
318	4
288	4
289	9
290	10
291	5
292	8
293	1
294	4
295	7
296	6
297	3
298	2
299	1
300	1
301	5
302	1
303	2
343	10
342	4
341	6
340	3
339	1
338	2
337	9
336	6
351	3
350	6
349	10
348	4
347	2
346	7
345	9
344	5
326	1
327	3
324	9
325	7
322	6
323	5
320	5
321	4
334	4
335	3
332	1
333	10
330	2
331	7
328	10
329	2
373	8
372	3
375	9
374	5
369	7
368	8
371	10
370	1
381	6
380	7
383	7
382	5
377	2
376	6
379	3
378	1
356	1
357	4
358	1
359	9
352	5
353	1
354	4
355	2
364	5
365	1
366	3
367	10
360	2
361	4
362	7
363	6
410	2
411	10
408	5
409	7
414	7
415	3
412	4
413	9
402	10
403	1
400	7
401	6
406	4
407	3
404	8
405	9
395	8
394	3
393	1
392	8
399	6
398	3
397	4
396	4
387	7
386	10
385	3
384	9
391	2
390	5
389	9
388	4
440	5
441	7
442	6
443	1
444	4
445	3
446	5
447	2
432	9
433	5
434	3
435	4
436	1
437	2
438	1
439	10
425	6
424	2
427	4
426	3
429	2
428	1
431	6
430	1
417	1
416	5
419	7
418	6
421	4
420	1
423	3
422	10
478	2
479	9
476	7
477	6
474	3
475	4
472	1
473	3
470	7
471	2
468	6
469	3
466	10
467	1
464	9
465	5
463	4
462	2
461	7
460	10
459	9
458	5
457	8
456	6
455	5
454	10
453	1
452	4
451	7
450	3
449	6
448	9
508	7
509	6
510	2
511	10
504	5
505	9
506	3
507	5
500	3
501	2
502	4
503	1
496	1
497	4
498	3
499	6
493	4
492	1
495	2
494	5
489	9
488	3
491	6
490	7
485	2
484	2
487	10
486	2
481	2
480	4
483	6
482	7
550	10
551	8
548	7
549	1
546	4
547	2
544	9
545	3
558	1
559	2
556	7
557	5
554	6
555	3
552	4
553	9
567	9
566	8
565	7
564	5
563	2
562	10
561	4
560	1
574	4
573	10
572	9
571	5
570	2
569	3
568	6
516	8
517	4
518	9
519	4
512	1
513	10
514	3
515	5
524	4
525	2
526	5
527	10
520	2
521	4
522	5
523	6
533	9
532	4
535	2
534	3
529	1
528	1
531	2
530	10
541	10
540	8
543	6
542	5
537	5
536	10
539	7
538	6
