movie	actor
37	261
2668	517
868	761
498	1231
2399	721
1989	1768
891	1746
655	923
2760	1362
828	1463
888	1759
342	564
1885	1503
2577	1147
247	1094
1236	1380
2679	1662
2132	1934
26	189
2560	481
2168	617
907	1849
52	188
608	415
462	640
2588	1764
95	533
1524	1236
2694	1498
2374	789
670	321
2302	770
865	955
2619	93
2769	629
85	234
1193	245
2192	169
391	1121
594	536
2588	1768
662	1240
255	913
2212	946
1673	861
1245	188
2429	1089
2201	1594
613	12
1622	1964
18	74
1658	1529
1239	592
2811	152
1331	1811
1067	1353
1512	390
1602	1162
782	1372
664	865
55	340
520	1612
2208	1151
1394	1872
2538	826
2680	1130
2085	1468
1450	1721
917	1891
1761	1639
631	429
1679	1688
1983	1614
21	89
1990	1386
424	26
1171	653
1388	1099
2408	1467
96	131
887	1877
2473	1567
113	658
280	394
2849	1989
2849	249
202	791
788	64
1912	1013
170	57
427	1115
1545	1459
309	730
2002	1290
1610	452
556	865
52	271
268	838
1314	1804
1041	866
2676	870
47	299
1036	1579
655	98
1809	545
45	290
623	1444
2369	1351
640	463
389	669
570	1646
1490	673
1812	686
1831	276
2606	871
2424	1698
655	1505
2782	188
2739	1342
460	312
812	1769
1461	1517
775	742
2303	754
410	1461
1601	135
2596	1795
1766	1660
612	360
2668	88
1461	1259
1954	585
1659	1152
1576	495
1317	89
1774	1088
2670	263
327	1334
1884	1751
494	1578
2400	794
19	84
1103	47
2354	38
2366	12
2539	1158
845	1438
671	271
2542	1882
251	1105
586	48
2362	429
1407	1079
108	630
108	634
1249	1086
491	1505
2848	38
832	429
1398	1684
2424	420
1958	1684
2121	1400
393	1133
1715	114
1760	1064
86	91
2692	1347
2840	945
1264	688
181	875
1604	284
1512	1963
124	236
2326	1341
1895	410
2035	990
1833	1137
99	565
1721	478
1583	290
1772	1079
2474	1497
1204	1318
419	813
1162	1620
75	421
487	250
1035	1364
1224	506
1927	1013
2123	1601
85	475
262	716
633	697
1822	1463
1601	119
86	483
416	768
1423	1894
151	513
709	260
261	324
2373	1669
1635	12
2737	1978
1694	1129
2656	711
2123	1115
1162	1193
1394	1298
818	1248
1509	842
2592	968
1648	1919
2806	1493
512	1587
1786	1568
2355	1678
1556	599
1113	1278
1706	969
216	970
394	1444
676	1424
1997	127
2370	1078
367	1398
1896	1692
1004	1916
585	1365
617	1127
449	871
1432	1503
2369	961
2420	793
230	889
1280	1141
2307	1335
2569	1893
2109	866
303	594
413	146
440	617
1729	279
2377	627
2112	1311
2231	656
95	535
1667	316
2565	60
1470	1623
1797	1487
1638	1855
2326	1202
2718	879
2834	42
2668	1300
2472	594
1351	390
2775	702
877	1194
48	310
1638	1592
1566	691
2715	1701
1880	1232
2185	41
2168	622
1285	1097
2842	1884
1955	86
2737	829
2329	231
2155	43
706	67
261	1138
207	942
881	1395
2122	709
765	1552
283	570
2850	992
1319	1941
1864	1989
284	1229
142	763
2144	1764
2746	1318
881	1875
2739	1836
2035	953
1392	1150
306	430
1253	852
1865	1278
1325	1249
1591	780
2777	985
1390	1729
1757	1492
520	1488
1092	909
325	392
1423	1796
499	1054
2203	725
295	1188
638	1200
1663	1332
642	1296
179	167
1449	545
1830	1666
2501	453
1035	517
711	1236
1907	440
2024	807
1767	753
1394	386
2554	736
2547	630
624	1442
246	114
1327	1702
1220	946
1238	493
170	78
2032	81
118	678
222	388
2760	552
1037	1110
314	894
1938	1672
650	1321
1361	803
2373	1714
2134	945
567	321
2122	1390
1937	1471
1745	369
276	208
157	315
618	301
913	1877
2352	1271
2246	982
384	288
1848	1341
977	1012
2676	1897
1383	1339
30	221
1470	1383
3	13
1108	1712
2319	1351
2202	1456
2794	1657
1083	871
2079	671
413	1269
655	1296
570	459
639	1350
1843	1938
2335	889
2582	580
2038	857
2316	1601
2360	36
1041	12
376	1416
2006	1123
2700	1902
1491	468
251	1107
1809	426
2469	1543
969	965
1259	1429
2067	1881
740	1293
1481	1982
1436	1530
2760	1896
835	85
20	85
2456	445
368	1402
885	713
2587	1972
1898	627
577	1661
1108	441
1143	184
1403	1755
1033	380
83	392
924	1533
1291	998
2749	1723
1616	741
2818	39
1654	518
815	1598
1976	230
1339	1928
1070	492
1297	1250
2574	254
1005	950
1375	1642
2555	1169
1063	1515
1734	1619
1015	172
572	204
727	125
1264	421
1051	575
768	1283
1245	118
1830	1834
2291	309
512	291
1715	366
2064	1725
2297	1238
773	1128
2607	488
779	878
2501	1826
1473	1434
2437	734
22	133
327	1338
1162	1199
223	999
908	1455
310	1294
699	938
1429	1297
2715	696
612	365
427	386
140	744
855	14
246	1088
1663	378
1151	1416
678	1319
285	240
1792	1838
2077	627
2501	1832
1914	224
2046	1205
2140	424
856	313
327	1339
454	1515
2123	1091
1200	1146
792	597
1715	1241
820	518
1554	1670
2411	1481
191	273
2108	395
2661	1455
270	58
2263	240
1648	182
790	700
841	429
2752	119
1378	1689
880	1760
898	17
1794	1491
2827	529
2263	1808
2064	504
1043	204
2501	1841
642	1740
243	1074
2634	1226
695	589
409	944
1626	112
1895	484
520	305
2006	1852
2679	205
2307	1800
799	508
1262	369
2627	1870
2123	999
1326	605
2452	871
2731	370
2276	1759
1450	1653
2287	13
436	1251
2123	1744
2170	14
99	567
1299	702
1941	788
2847	799
1060	202
1289	1685
1989	1721
783	1720
