2068	61
2243	1830
2403	1945
1337	1192
3030	2359
1191	1076
2932	21
1708	1470
813	764
3115	2326
849	794
2422	1959
358	350
2049	1701
335	327
2482	1205
2291	1863
2864	458
1257	1131
1608	322
271	268
538	516
583	559
2690	2146
2766	496
1370	1219
2401	1943
93	92
575	551
1193	1077
1330	1187
834	781
1443	1272
178	176
1688	1456
720	682
1880	1596
550	528
1081	998
1409	1243
819	276
2257	1839
971	511
700	666
1255	1129
322	314
2426	1961
2714	42
39	39
2554	2053
326	318
1471	1288
1320	1181
2304	1872
1100	1010
1427	1258
1394	987
2337	1897
2383	1933
642	612
2640	2108
1480	1297
411	400
1307	1170
194	192
777	732
595	570
2855	2248
2891	2268
1125	1031
3067	2377
1172	1066
2593	994
1504	1213
1007	935
2986	2331
1407	1241
1133	1039
59	58
131	130
3049	2368
462	446
2234	1824
488	467
2814	2221
402	392
912	850
363	355
2558	2057
90	89
1259	1133
1464	1281
789	741
1243	1118
1453	740
1863	1585
2203	1796
1928	1625
2241	1828
343	335
1659	1431
2137	741
325	317
3051	1064
2894	2270
1432	442
2567	2063
213	210
362	354
3047	2367
2094	1730
1599	1385
2937	2295
2997	2338
882	822
1377	67
2022	617
2767	2195
1389	295
1723	1481
586	562
1846	1572
1655	1427
49	48
2769	586
1997	1669
1074	775
1808	1541
2182	1781
141	139
781	3
2981	161
2845	2240
64	63
108	107
2610	2090
1064	675
3127	359
1725	1482
2265	1843
216	213
2162	873
2830	2230
323	315
183	181
1221	1004
2738	2175
1600	1386
1653	1425
2648	2115
1363	1213
1295	1158
167	165
2307	1875
2786	2205
1849	602
1550	1349
2507	2016
3098	442
1829	291
626	600
7	7
2530	827
2369	1923
1782	717
786	739
1222	1100
3071	2380
745	703
2823	2226
2024	1684
2540	2046
1734	22
2755	2189
2780	586
1700	107
219	216
573	549
2829	818
2321	1402
822	770
2746	1507
1862	1584
2460	807
2030	1563
2781	610
1730	1486
620	594
1036	960
1663	97
1510	1317
129	128
2586	2076
133	132
1420	387
1468	1285
2356	1912
1160	630
2467	1986
1944	350
34	34
754	711
2245	1832
2984	2330
1594	1382
1355	1205
17	17
2032	1689
2322	1886
2248	738
2506	2015
1176	810
1309	1172
1400	496
3050	1429
2216	1809
1380	1225
1827	894
1086	740
2294	1866
566	542
1978	1656
2885	873
2330	1890
1485	634
1570	95
2425	1447
1870	1591
76	75
826	774
1417	1251
2397	1824
287	282
270	267
1786	1415
810	761
3129	38
2018	1681
2888	2266
3014	2347
1027	953
1352	1202
1530	496
1878	617
471	453
1906	1614
668	636
787	740
990	919
1306	1169
212	209
2665	2128
1391	1231
2163	5
1687	803
2858	2251
1495	1307
3048	1812
2520	2028
450	434
2777	2011
3126	630
1582	1375
2721	2162
632	606
1142	288
2178	1779
530	508
1140	1046
1452	1274
2430	1542
3039	761
2120	1476
2550	1297
1165	21
2449	1975
1104	1013
1837	1563
1783	517
737	696
164	162
1345	787
1418	101
2306	1874
2500	2010
901	840
2205	1798
1902	741
1162	1061
661	629
1256	1130
1640	1414
548	526
1190	650
542	520
2747	2183
41	41
815	740
2775	2199
2533	2039
380	371
431	417
421	409
1123	1029
158	156
2185	101
