11322	7183
9084	5912
29274	3783
38974	3909
21543	412
13129	4988
30004	3097
25703	4957
7640	5634
10996	7076
10853	5766
12457	7517
37200	8832
29496	5167
15380	2932
37253	6255
25282	2318
22678	7879
24104	9311
38714	7729
19556	5176
43254	7975
24895	5898
483	462
26740	6717
18667	8827
34431	7769
19498	5504
36929	9455
11852	7337
7749	5681
24859	1965
7565	5594
140	139
13007	7660
37299	1719
36158	7902
890	847
42534	5630
7213	5440
8855	370
24100	3804
43952	6765
35183	9488
6885	2495
3768	992
30450	71
24066	6901
5501	4481
32004	8472
11109	7116
23892	7579
39591	6382
35018	8504
39657	1362
5510	4486
13340	1785
13716	153
29912	6123
4130	3121
23089	5687
17283	5547
13136	7394
30082	8369
18370	229
5386	3035
38745	2262
29967	9848
22872	7498
42692	9918
13159	2575
11422	106
29233	6959
6067	4829
41203	3556
18187	8735
23027	8463
9463	6487
9986	1281
17143	2339
36445	3602
9164	4096
43188	8869
9888	3309
14929	4075
27866	2462
6439	2193
11675	7032
7767	757
837	798
41590	7253
34681	3288
599	568
37076	3101
2154	1293
34067	7743
36607	3800
25992	9637
20911	5271
14602	4848
23607	1525
10021	2943
8477	5571
3293	2958
3405	3054
3731	3306
39042	7532
16267	8433
34033	2289
19149	4648
36711	8284
28402	3123
8524	6051
40173	5254
17144	2339
17241	8611
2842	2577
39383	7947
8577	6101
13951	7920
8482	130
27190	9152
36255	8492
27383	9628
9638	868
8609	6119
34419	2293
2977	2696
33284	6909
35003	7678
19499	6467
25698	6927
22960	4088
43544	3565
38303	3428
28038	9749
37390	1923
19712	9004
33579	3770
10559	1273
10058	1004
12289	7466
9221	3125
2088	1940
18534	4284
38062	9401
40522	1334
10424	3558
5937	4754
8438	6008
24663	8689
2701	1966
12537	7538
36971	2464
44119	2390
577	547
4936	4148
21542	9252
2535	2329
35331	6281
717	684
4910	4129
5174	4281
32867	9926
36548	9767
16037	4223
18179	8733
32262	6316
1144	1085
14119	118
21422	2771
31911	8613
35908	2930
28795	6776
26391	9306
794	757
15193	3931
7077	1359
43284	6652
40333	5579
625	593
39101	2247
3957	3474
25643	5660
2356	2174
28426	7395
5492	4475
30414	8259
8103	5846
37072	3931
17103	6536
36612	3800
23805	5101
26305	7199
1518	1424
12859	7159
37677	98
33689	4096
8449	6012
35846	9430
11531	7243
39065	4137
38807	2889
1483	1393
12389	4916
20788	9090
31442	8650
23278	3121
25888	1731
7214	5441
28575	760
31043	6012
41539	9217
2933	2658
27707	6658
13145	1915
40414	6117
12410	7500
38305	4116
15704	8337
42601	7810
41323	6868
43223	2387
16729	6136
43455	4439
26413	6673
15988	1164
16113	4534
40094	7242
40308	5032
573	543
34731	1228
38357	6312
6894	2267
25361	3570
23056	489
38880	9364
21983	9293
33350	4509
2081	1933
2615	2389
14246	937
3954	3474
9299	2062
20167	9078
33849	6700
12151	4065
27506	9728
27353	1581
14272	4465
1717	1603
36697	9656
21968	8924
7695	606
6306	4990
36605	2463
24994	8467
37809	7051
33755	8894
42489	4682
21743	3865
19115	6985
8305	5947
4813	4068
17568	7819
35771	5339
21591	1880
16105	7082
42164	7860
28415	3988
1250	1187
42101	8269
24061	7515
24905	7014
26857	4425
1055	1003
35707	2771
14456	2334
25119	5794
8445	3925
602	571
3796	3361
26501	1413
9215	6374
8859	6225
43768	3902
22967	2829
1913	1784
11688	550
11451	385
19911	9047
8078	5837
29598	3863
28298	9768
27987	4182
25683	4328
4503	3854
34513	5524
20599	7113
1147	1088
30705	9304
891	848
6876	5282
11293	7173
9778	1949
32512	9553
24352	3588
730	696
4506	3856
20040	9057
19415	7700
37730	6146
29582	4675
39601	3334
24928	895
6700	5203
31812	9256
29146	9808
7856	5732
33731	9840
29551	2857
26689	8183
21666	447
35160	4277
596	566
27004	6975
15525	7804
29027	5579
39620	5424
2144	1990
26506	1413
26937	3997
32006	1356
43568	2554
35700	4291
40523	3364
20071	5820
23344	9435
40294	9997
14042	961
32824	1405
476	455
36268	5076
39612	4207
20721	4932
31579	6971
9700	2778
734	27
24617	8920
43510	8101
3855	3410
19471	8972
3720	2455
14377	8038
18627	4166
41841	1160
20572	4272
26587	7278
9670	6557
43497	4508
29160	156
27961	6668
5272	4015
16520	5943
19904	9045
39039	8636
34876	9633
20486	6635
6729	2423
25676	6004
40790	2480
34970	6859
29352	7910
20582	4966
9630	4470
37851	9704
34635	4672
38962	5692
41825	6597
20127	6699
25717	1738
28350	6579
42999	496
26052	9643
30088	7441
34517	6280
35401	9788
719	686
14311	8021
42204	5307
17308	8620
41537	1283
13434	2816
12455	6683
19496	3688
42607	3512
13480	6235
15764	5732
35131	7957
20571	280
20259	4360
16188	6518
19398	4655
29058	9286
42760	1573
30413	4547
783	746
6217	4926
33296	7839
13414	7783
20543	7147
32216	2058
39637	7029
7634	5609
14390	7185
41568	3352
38774	7714
34610	6132
18599	8806
14615	8095
26739	5939
7457	5556
16031	506
6498	2957
1488	1398
3374	3027
25957	2912
6802	5245
43715	9456
2975	2694
4186	2385
13583	1086
39733	7839
35139	4406
1363	1287
30404	2502
6340	1315
13533	7818
6104	4853
22540	3597
39429	6743
36701	5278
2095	1945
10668	6963
16509	5625
22384	3964
31789	4607
6749	147
12021	2232
2061	1913
29720	944
42289	9258
29695	8671
2708	2388
13841	7891
19490	4637
35912	8977
31603	661
