charedby	character
2149	2019
41140	30465
29864	22765
33686	25390
13919	11265
30443	23158
27891	21403
27310	20956
38526	28669
12094	9875
13092	10667
31038	2648
13022	10611
21639	5313
41508	30739
11486	690
16640	13280
30286	23049
27050	19831
11249	9247
6430	5600
41106	30440
38334	916
27730	21280
38222	28440
8196	6924
42116	31158
19855	15680
26801	12762
37590	27993
17882	14172
35988	2101
27022	20746
40636	30112
41887	30989
28126	21564
39316	29251
29727	22684
859	834
33323	550
42141	31176
37396	15861
13787	11160
10268	8520
23237	18088
28389	496
22054	5622
41090	30427
28868	22066
7090	6087
4810	4285
14818	1383
25190	19474
6301	5511
11204	9214
3871	3477
36030	26942
9411	7881
17822	14133
19815	15648
31212	23675
31784	24064
976	944
38243	28460
2519	2347
7709	6558
23753	18474
41707	11
17291	13785
40898	7914
25871	12467
13455	10918
19729	8898
14082	11391
12791	102
40870	30271
25169	1759
9215	7731
34795	26113
29651	22630
24642	19071
31597	23151
20364	16045
4246	3800
35327	4064
9462	7916
7073	6074
42249	9074
16729	13353
21856	17096
42142	31177
18184	84
19543	15452
13830	11191
26780	20576
6355	5549
35011	723
11616	9535
153	151
31417	23814
28906	22098
6098	5359
27231	20898
23431	18225
1088	1052
35285	2711
36414	27221
30777	23378
19297	15262
6951	758
12792	1286
26310	20259
8972	3710
14775	11900
13467	10929
39867	29608
26697	20514
21924	17141
18702	14810
23435	18228
2587	2406
34404	25870
32481	24534
15311	12319
18229	1946
10280	8532
17108	13645
18484	14641
32483	24536
29396	22439
17316	5148
22364	17469
24469	18950
18334	14523
23988	18638
32300	349
10977	9036
37280	10226
12353	10078
6373	5561
38546	28684
26327	20269
13037	10622
18439	14600
23189	18049
4668	4163
23402	18203
6280	5491
29628	22612
32941	9081
42085	31137
28115	21554
25933	20000
17512	13926
8126	793
26277	9536
16786	119
865	840
22987	17900
30619	23280
25579	19759
981	949
4461	3986
36233	27097
7951	6741
31073	23585
4182	3746
34737	708
37271	10221
19639	1049
344	341
9311	7809
34662	434
13535	10978
19475	15406
12324	10052
18416	9815
30882	1047
5350	2034
5649	4979
5050	32
8524	7201
34026	2571
12043	837
24587	116
34076	1794
21792	2096
4290	3841
31535	23893
27770	2334
313	310
26451	20350
12407	10120
39601	29436
37304	1894
3052	2808
39182	472
1132	1095
4438	3964
18517	14663
34906	1831
6026	5293
38776	28852
37990	16602
37065	9081
21950	17162
29892	22786
11958	9765
23709	18444
23091	8527
8953	7546
12494	10199
23148	18013
5304	1783
5718	5047
28964	22137
14512	3129
28376	21731
27013	20740
26933	8390
29130	19180
2865	2643
42313	31300
16232	727
36758	22187
20258	15985
22906	4914
41669	30850
27637	21199
20295	9080
41992	1161
33287	25109
27142	20834
15499	12448
3545	3193
15920	12742
18820	14895
41124	30452
10292	1598
27334	20972
34499	25925
19800	15636
24513	18982
17357	13832
12331	10059
7874	6673
27888	21401
9890	8229
9003	7578
38307	28501
26299	20251
8776	7408
41808	4617
27682	21238
4169	3733
16596	13246
10177	713
31152	23638
9059	7619
31533	23891
30128	22951
33185	25043
6097	5358
29290	22372
7944	6734
20477	16140
5356	4733
27374	1540
24805	19204
9	9
29831	21841
11580	9509
5674	5003
41995	31071
39118	19
39094	29095
19389	15339
11302	9289
10788	6909
9743	8112
10444	806
37320	27815
10693	758
2068	1946
8167	5098
4380	3912
39717	704
15182	12224
18199	14420
41594	9081
28827	22032
25794	3959
5244	4639
36409	27217
36625	8130
10223	143
28211	21614
12676	10343
2127	1997
42439	3627
22010	17209
9072	7628
29442	22469
29981	22854
20176	15925
9284	7788
9472	7925
35467	26554
7803	184
23626	13588
34255	25778
39924	5886
5655	4985
15580	12501
24414	18913
17861	14159
38233	28451
26343	20282
7253	6207
5066	4482
13196	4013
4364	3898
21244	16671
23654	12237
39096	5054
7524	6411
31909	24140
34642	26013
18710	5467
41975	31059
12717	10374
5938	5219
7040	6053
15758	1612
636	627
7155	6136
23208	18062
7187	6161
38945	28978
9310	7808
4578	4079
5262	4652
27440	21045
29208	22314
6558	5697
40904	30297
24348	723
35367	3799
19907	15724
35063	26291
3367	3056
17786	14102
21047	84
31740	24034
26962	20703
36430	27232
25671	6349
20954	282
36453	27250
19255	15225
20434	16103
36096	26986
558	552
22339	17448
12267	10011
41445	30682
36664	15881
33631	25346
31134	4913
10876	8953
27578	21144
21350	8884
21859	17097
21046	84
12006	9804
37522	8413
35407	26505
877	852
35938	26883
6943	150
12754	10406
20284	16002
31000	11844
13038	10623
10564	8738
26377	20296
8582	7256
39652	29475
35290	1047
28687	21926
30014	1233
8217	6944
3590	3229
36066	26966
12299	10037
6331	5532
4429	3955
11283	9276
1387	1330
21957	17167
34151	1759
26701	20517
16503	13167
14185	11459
39132	29124
18579	14715
18062	863
33747	10067
14600	11763
16315	13031
27477	1946
4365	3899
8368	2591
31137	23626
25273	19532
32606	24610
11015	1625
21470	1803
17829	11567
24198	6028
35700	6780
13611	439
38632	1854
20440	16109
9571	3615
998	966
41536	30763
42103	12542
36527	27307
20556	16192
15018	12101
14332	11564
10912	8983
7041	6054
42106	31152
10320	8565
26159	3920
1830	1523
31398	18801
10848	8932
18800	14880
26111	20123
862	837
2755	2551
32989	24887
5079	4495
32102	24277
34922	26206
18570	9147
14169	11446
33601	25321
38407	28578
37483	27918
35425	26519
33517	25257
38497	28650
41409	30655
32550	24581
7092	6089
38224	28442
42329	15058
39236	5236
38274	119
16679	13311
5498	4851
19112	15115
14690	943
6640	5769
8127	6879
12342	10069
35174	26371
28720	21950
1446	1386
13166	10719
26645	20474
17213	12238
26395	20309
10612	8773
28076	3688
35540	26610
22611	1084
23765	18485
27204	916
5351	4729
40356	29922
19441	13308
42361	4809
6645	5773
41013	30381
30136	449
21491	340
40895	30291
32870	4440
10466	8675
26812	9642
18068	14319
20207	1206
10664	8811
12622	10300
5778	136
35230	26403
27481	21079
36782	27484
19221	15194
22468	17549
25401	19622
12814	10448
31912	24143
16213	136
35520	26595
2963	2728
258	256
13042	10627
33811	2034
10601	8764
36955	27600
35905	26858
15235	2530
4611	4110
14793	11918
15242	12269
22325	17436
31620	23936
21764	17038
2500	2330
38161	28396
19093	15100
6455	1924
17919	14199
24468	18949
26570	20428
27534	1386
3819	3428
8727	7369
30713	23333
18696	14805
6241	5455
1101	1065
13876	1954
35014	8884
13692	11094
37604	28002
17460	13898
18663	14777
15202	12240
39660	6738
42156	31188
17434	13882
38080	28350
37566	27977
42096	31146
16930	13511
13754	11140
41531	30760
20573	16207
39517	8618
29917	32
42173	12653
40871	30272
11630	9545
3449	3117
6051	5315
42172	146
35514	26592
38798	28870
5881	5169
16263	12983
19451	15387
15514	1862
27588	21153
38070	28341
31296	23726
18563	14702
24779	949
23086	17966
7159	6140
4870	1242
35107	26322
8177	6910
22398	17492
21841	17087
37730	28100
16706	13334
33788	25469
27215	20885
28625	2845
4044	3625
19311	3454
22834	2601
39203	29170
14164	11442
6113	2196
9983	4216
9745	8114
3735	3349
18012	14276
15481	12437
23131	17999
40364	29928
23981	18631
10176	8453
27093	20794
2119	1989
24134	18730
19051	15066
12228	9978
34754	26085
36602	6552
2762	2558
27172	14700
3268	2974
10908	8981
1118	1082
19058	15070
23450	18239
30583	23252
10322	8567
13888	11239
37783	28144
14179	11454
29018	22182
16555	13214
32827	4368
20313	1057
38117	28375
35078	21088
7025	6039
37877	9994
26255	20221
39036	29055
11977	9781
14676	11822
4581	4081
388	384
6216	5436
16904	13485
19553	13145
6404	5584
829	805
13714	11112
39785	5080
15198	12238
30354	23094
17180	6554
2686	2493
15109	12160
40164	29806
11023	9073
28712	21943
7453	6349
21466	3055
14350	10433
42185	7351
7669	6532
22812	6349
37826	449
1529	1467
41290	8424
39917	29646
40935	30320
39515	29377
14496	84
35756	2477
87	85
2443	2280
31619	23935
37617	28008
42068	31126
34521	25937
26031	4724
40212	387
34966	26228
13747	5594
36480	27269
31606	501
10926	8995
8200	6928
9201	7718
14476	11673
32477	24530
41383	30637
9520	7957
15561	12486
31846	1201
8747	7386
35832	26808
31173	23653
16071	12854
39409	29305
38725	775
25091	19403
18632	2564
11669	102
1532	1470
34324	282
3509	3166
36423	27227
23134	5248
7341	3129
37696	28076
273	270
39711	835
15448	12415
20899	16423
5960	5238
13210	3996
17287	13781
18237	14451
31888	24127
4195	3758
15991	12795
15288	12304
20449	15987
32852	19579
6242	5456
29834	6068
19801	15637
14034	11348
40890	30288
14516	11702
418	414
7741	6582
37440	27896
25083	19397
20003	15793
10410	8634
1939	1833
34056	25651
26220	20200
13086	10664
20809	16366
19503	15419
2308	2163
41639	30827
13523	10966
23248	18095
9801	8154
20648	16260
6046	5310
32591	24600
31376	23784
27602	21166
4055	3632
4183	5
30609	23272
20718	16306
11906	9723
11289	9281
40891	30289
31204	15241
41972	31056
26158	8148
24251	18803
39992	29696
19097	15103
11326	9310
39627	907
31106	23606
41907	31003
33128	24991
24880	9447
11881	9705
2172	1109
6960	788
27684	21240
11942	9751
33948	25583
37613	28005
3641	3272
8807	7432
14646	11801
32982	10879
14664	3125
40705	30154
14262	857
23192	1325
3250	2960
23188	18048
5197	4598
35506	26587
19457	3847
32141	16753
18812	14889
14195	11469
2329	2182
9593	8002
32559	3920
28059	21513
5764	5076
22165	17326
10086	8381
39708	29511
39597	3968
6244	5458
12449	10158
32874	24816
31387	23793
9561	7979
35239	26408
22531	17591
13265	10049
15559	12484
17256	13758
38306	28500
3632	3265
27017	20742
7805	6631
3724	3338
11592	9517
39647	895
13420	10712
6944	835
33273	11682
10379	8615
2013	1894
6728	5834
8949	7543
18877	14936
8326	7040
23613	18369
2488	765
5570	1835
33684	2276
8190	6918
37378	27854
20256	2034
31645	23954
2375	2217
1886	1791
39085	29090
14762	11887
36966	27609
21917	17134
24171	12727
28952	22128
11621	3463
38854	8884
40142	29791
1489	1427
17542	13945
25814	9356
14428	4374
2186	2053
30302	10239
13534	10977
22191	17343
6911	926
14112	11411
16764	13378
25216	19491
19970	15773
21595	3475
27621	21184
3163	2890
35138	26348
24090	18695
31139	23627
18385	14554
7566	6447
14111	11410
2775	2569
11253	9249
2772	2156
23886	5979
33	33
16867	13453
16540	13199
23279	18113
22215	17355
7284	6229
12986	10581
14813	10953
6912	3235
33733	25420
14760	11885
23890	18560
1722	1642
8636	7302
18559	14699
38768	28847
22194	9066
34032	23931
911	881
6116	5371
21026	16517
22299	17417
36529	729
9562	7980
33485	10425
17164	13685
9228	7743
3018	2776
26969	20707
30310	23058
26911	20674
23126	17994
3618	3252
32240	24381
4993	208
32583	13136
4695	2102
22875	17821
14656	2950
18483	14640
14915	12015
23466	18254
40194	628
41701	30876
33388	1706
9629	8029
38257	5780
42241	8818
38762	28841
19111	15114
19752	153
39185	29154
18650	1785
29506	18066
10968	9029
22439	17530
31251	23693
19913	15730
30815	2385
3774	3384
35890	1878
8799	7424
34898	26186
15146	12192
1122	1086
3239	2951
28381	21736
9671	8064
11164	9180
20385	16061
6894	3791
21836	17083
21335	16734
3104	2841
7756	6592
15957	12770
27586	21151
4378	3911
8504	1878
34450	4470
3093	2833
37801	28161
27729	84
17713	14054
20937	16456
42009	31084
35979	26909
146	144
33760	25442
31662	4339
20308	16023
38192	28415
37928	28241
21498	16854
23674	18414
9586	7995
26507	8387
10907	2595
15061	4540
18784	14868
7317	6258
14735	11865
3635	3267
23441	14877
23286	18120
19289	15257
30230	23016
9211	7727
35233	964
4683	4175
24318	153
12511	10207
22503	17578
41055	3050
28924	22114
15995	8402
34278	9458
21104	16568
11238	9239
34286	25801
34588	25976
2952	1925
41592	30798
41569	30780
21843	17089
771	751
8239	6962
16830	13427
16965	13546
3120	2854
4403	3931
24453	18938
35767	2196
31842	24102
38050	28326
38245	28462
24675	19099
31438	1386
37435	27891
13417	142
41172	30489
1831	1744
15545	12476
11622	9537
33579	25303
1266	1219
8052	3443
611	602
20630	16245
31408	23808
11843	9680
15684	496
34523	2196
17909	3356
35067	26295
31230	23682
3639	3270
14386	11612
26652	20479
23275	18110
23607	4238
4713	4198
22046	150
24120	18719
40495	11921
16966	13547
4785	1854
19185	4087
40367	29931
4995	213
3976	774
21269	7544
19999	6660
11279	9272
9056	7616
21067	16544
42227	31230
39722	520
39688	29496
15678	12576
30426	10294
4274	3826
3208	2925
5891	1595
15347	12346
9242	84
2448	2284
29470	1097
16752	13372
4634	4130
23273	18108
11271	9265
16820	13419
887	98
10319	8564
12623	10301
24666	19091
36821	8400
26495	20376
33402	25190
30249	1925
35115	26330
