charedby	movie
411	36
19921	1938
3718	298
17196	1647
20694	2005
4509	368
12426	1176
13219	1252
41794	4093
9248	857
23936	2303
37911	3704
9136	834
21361	2094
25974	2523
41321	4034
23487	2267
14455	1380
12425	1176
34937	3394
12887	1214
15597	1498
25785	2504
12115	1154
32625	3156
35560	3464
19464	1887
19922	1938
8638	779
410	36
13218	1252
3717	298
41795	4093
38058	3716
4508	368
17197	1647
34435	3342
14457	1380
38879	3789
21360	2094
20693	2005
9137	834
37910	3704
23937	2303
12424	1176
25975	2523
14456	1380
41796	4093
41320	4034
23488	2267
15598	1498
18593	1812
12888	1214
19465	1887
34936	3394
32626	3156
12116	1154
25786	2504
19462	1887
413	36
20692	2005
34436	3342
14458	1380
41792	4093
9134	834
17198	1647
22900	2220
40675	3980
12428	1176
34437	3342
9810	912
41323	4034
23938	2303
34935	3394
12889	1214
25783	2504
12113	1154
18592	1812
32623	3156
16207	1565
15599	1498
9249	857
412	36
19920	1938
19463	1887
9135	834
20691	2005
17199	1647
14459	1380
41793	4093
12427	1176
3719	298
34438	3342
40676	3980
25973	2523
41322	4034
31227	3009
12720	1201
34934	3394
32624	3156
12114	1154
25784	2504
40300	3937
10759	1012
23932	2303
7776	700
22315	2175
20690	2005
22985	2231
30596	2945
34731	3374
3714	298
13215	1252
415	36
5678	475
39930	3893
19468	1887
22206	2167
12721	1201
25789	2504
41325	4034
31228	3009
25685	2485
35564	3464
9812	912
36143	3522
4068	334
34439	3342
21365	2094
40301	3937
12111	1154
12429	1176
10758	1012
7777	700
22986	2231
23933	2303
22314	2175
3713	298
30597	2945
13214	1252
34730	3374
5677	475
414	36
19469	1887
12112	1154
12722	1201
35563	3464
21364	2094
25684	2485
9811	912
41324	4034
40302	3937
22205	2167
31229	3009
4069	334
9138	834
9815	912
18150	1753
22313	2175
10757	1012
23934	2303
31410	3034
38230	3736
3716	298
13217	1252
417	36
19923	1938
19466	1887
25787	2504
41327	4034
39932	3893
34939	3394
12885	1214
40303	3937
25683	2485
35562	3464
36141	3522
12723	1201
21363	2094
10756	1012
10500	984
9814	912
22984	2231
23935	2303
31411	3034
7775	700
416	36
5679	475
17621	1689
38231	3736
3715	298
13216	1252
9139	834
30595	2945
29329	2840
22312	2175
25788	2504
41326	4034
19467	1887
12886	1214
34938	3394
39931	3893
12110	1154
7774	700
40304	3937
36142	3522
9813	912
12724	1201
35561	3464
21362	2094
40305	3937
12211	1160
12725	1201
16105	1554
23858	2301
3904	316
18439	1798
41329	4034
12569	1184
33062	3194
5674	475
22989	2231
23137	2243
8498	762
13211	1252
29402	2848
33505	3239
9817	912
10755	1012
12726	1201
16104	1554
40306	3937
12210	1160
23857	2301
3905	316
34240	3321
22209	2167
34259	3325
41328	4034
23136	2243
8499	762
33506	3239
15700	1514
29403	2848
10754	1012
5673	475
9816	912
12727	1201
16103	1554
21367	2094
40670	3978
23481	2267
40307	3937
27329	2654
3902	316
12567	1184
23135	2243
12213	1160
39309	3824
22208	2167
39483	3850
10753	1012
13213	1252
32748	3171
5676	475
15590	1498
17190	1647
29400	2848
22987	2231
23250	2249
31397	3033
23480	2267
33503	3239
9819	912
21366	2094
4647	380
12728	1201
16102	1554
40308	3937
23859	2301
14450	1380
23482	2267
12212	1160
23134	2243
3903	316
12568	1184
18438	1798
39308	3824
22207	2167
20699	2005
13212	1252
32749	3171
22988	2231
15591	1498
17191	1647
10752	1012
5675	475
3758	305
23251	2249
14280	1358
29401	2848
9818	912
33504	3239
12565	1184
40309	3937
12119	1154
8493	762
15593	1498
34933	3394
16109	1554
12421	1176
14451	1380
23483	2267
40672	3978
25781	2504
4648	380
3908	316
23854	2301
40677	3980
12729	1201
12893	1215
9132	834
23853	2301
23252	2249
4649	380
33066	3194
3757	305
5670	475
15592	1498
17192	1647
32746	3171
