starring	character
13998	10819
22647	16986
26679	19758
23399	17495
24946	16568
20374	15422
40477	28959
28403	20908
32676	23790
41134	29413
33537	24358
42507	30285
38409	949
30590	22433
7267	5912
26729	4800
39109	27993
13617	10543
26636	19728
39957	28587
22484	16884
3804	3206
2751	1111
4414	3702
26668	4913
8778	338
19363	14668
19183	14531
14721	11328
31786	2102
10680	8398
43713	12169
6310	5233
15806	12127
40463	2012
36560	26330
29754	5173
15239	2869
22750	17050
32638	23765
4576	3838
5901	4901
38868	27840
31074	101
11344	8861
5972	4963
8877	7099
39561	28308
39455	28238
10557	8300
15360	11778
33855	1052
29316	21572
13147	10177
17527	13356
42630	5594
26084	5380
36330	26191
40511	28988
3805	3207
571	530
4163	3494
17667	13306
12045	879
6696	5511
36903	26543
37850	27187
13029	10078
17894	12282
37263	26794
40670	29105
34314	11549
11960	9308
27165	20073
32074	6087
40788	29190
11925	9281
4813	4037
38856	27833
35037	25359
20578	15574
29877	21924
37661	1271
29472	21662
5635	4690
13883	4018
33518	24344
29694	21815
2974	2572
23845	9993
40276	28819
7455	6027
32194	23467
6938	5677
16266	12456
38999	27920
2799	974
33303	15212
28020	1839
1229	1118
15489	11875
10614	8350
16742	8815
10153	8029
26479	2477
31147	22808
982	889
30398	1609
33051	24041
26941	19929
25818	19145
38963	153
15572	11943
7774	1084
17838	2757
33598	20726
30277	22234
5372	4465
24116	17971
2922	2529
15590	11956
6162	5113
42060	29994
27996	947
21442	3380
14287	11025
37292	98
26380	19539
14812	11400
4134	3471
24518	18271
17543	13368
31478	23015
24330	18134
15021	4080
11957	9305
40692	29123
15616	11976
19187	14535
22247	16714
7424	6004
3326	2845
3370	2880
40275	2960
10857	8527
728	665
39585	3037
3257	2809
15811	12130
42074	1111
30228	22192
35346	25584
28362	916
15164	143
37646	496
36013	25987
12726	9845
14735	11336
43495	8837
12815	9913
4839	4058
34262	24838
19227	14557
28902	21283
5397	4486
16477	12599
20911	515
14469	469
41549	29681
34532	25036
8108	6349
13068	10110
15966	12260
8393	6714
5642	4696
41769	29822
28211	20775
10249	5368
7767	6258
37710	27089
23490	17567
3075	2652
1824	1619
14399	11097
17862	13613
38393	27557
29057	6169
26232	19438
36553	26323
21196	444
43938	31263
16805	12824
31245	5368
15235	84
1246	1131
15999	12279
23524	17588
38572	27678
35532	23
18018	13725
9935	7887
34454	16947
38364	27536
5450	4531
35127	25420
5249	4376
35668	5754
9699	7710
35258	5684
20380	15427
31704	23164
18083	13776
4344	3640
36480	26276
36978	158
16598	12681
31082	22762
40644	29089
18135	13812
33482	832
31876	23273
14281	11020
36284	26157
41753	29810
25747	19052
32535	4470
4281	3590
22414	16834
25291	4944
31996	496
33721	24477
30882	22639
7972	6406
5797	4816
10502	8265
6747	5548
27307	20176
27174	20078
20869	15787
31025	22733
3006	2598
33104	24068
43360	30899
40110	28697
16380	12534
29606	21763
41945	29922
7434	6010
11353	8869
9180	7347
13356	10344
31934	23306
32985	23986
2663	2312
19616	14850
39298	28143
37521	1136
16253	12447
20458	15488
24156	18000
43523	30991
39895	28537
34923	170
17637	2012
4582	3843
32804	23872
4771	4002
16289	12468
23372	17479
2228	1951
39680	28392
24660	6104
22177	16665
16595	12679
17686	13471
31366	22951
30738	22521
38192	27424
11243	974
29201	21492
38566	27675
40255	28805
7275	1051
7070	96
34270	24844
10590	8328
43278	30833
31337	22928
37360	26851
5810	4825
12589	9737
7003	5732
17685	13470
23453	17541
42863	7420
11002	8354
34217	4440
2607	2261
33903	3881
40628	29081
25450	722
18789	14229
36262	26142
4530	3797
4383	3674
14754	11335
24658	550
10780	8472
2126	774
18369	13952
18951	14352
12738	9857
42246	30113
39552	28304
37184	26733
10292	5969
19999	5754
3956	3318
20369	13692
21762	16383
28018	13
19626	14857
26080	19324
10044	3988
12033	9368
19071	14448
1270	1150
10538	1772
21065	15935
36098	3411
36982	746
16297	12473
36719	26436
31837	2540
32373	23595
40956	29295
8686	6937
19155	846
10583	8322
9646	7674
17776	3133
34703	25147
14891	11445
39223	28081
24514	18267
43610	2066
11617	555
11110	8705
13545	10493
28391	20900
759	696
9943	7894
18388	4075
36428	1878
12170	1612
37976	27270
10907	8563
18222	5534
21684	16347
41856	21404
39835	28497
39633	28363
30691	22495
4553	3817
16207	5075
42841	774
12585	1776
23046	1776
32471	15721
10369	4443
1174	1065
21936	16496
43176	30770
35934	25939
32504	158
30968	22701
15713	12065
897	821
24797	18480
21750	16378
7892	6343
22342	16786
41780	17936
36390	94
27079	20020
12213	9502
6130	250
8675	6927
27626	158
29889	4032
17315	13196
29946	1111
29444	1795
14715	11323
39081	27973
28110	20705
19036	14420
33427	24281
8309	6656
1715	1524
1119	1014
42345	28394
14719	11326
28100	892
26004	19280
7452	6024
16259	6632
40438	28935
29724	21830
2070	1822
8871	7093
32657	23775
9010	7206
43241	33
4182	3507
5550	4619
27565	4228
35265	25523
19573	14824
42574	30336
1018	924
410	387
6599	5430
42129	30043
5314	4425
29824	21882
16061	12320
19278	14600
26445	7527
15722	12070
23412	17507
24234	7094
39648	28375
37711	20150
27739	20447
14757	11335
8663	768
41294	29516
28253	1606
29610	21766
32764	23851
41419	3959
41070	1271
6897	5648
28503	20978
12099	9415
20355	1705
43614	2066
22500	16898
17219	12251
2280	1998
528	488
4169	3483
30806	22571
28306	1611
7570	6110
11211	8764
4846	3959
701	641
31066	22755
7837	6302
34888	25246
4937	4133
28741	21143
3532	806
39177	28046
1395	1238
18637	14119
43615	2066
26247	19447
4293	3601
30012	22025
11299	8828
37842	27185
34363	24903
12602	9748
38645	11513
11918	9275
15770	149
19109	2034
22900	17150
7984	6416
42734	30443
1386	1231
22993	17210
37888	27209
32532	772
30751	22528
8588	6870
30754	22523
26680	835
33279	24186
43612	2066
42855	2663
2267	1986
15887	12190
9781	7777
977	884
32787	15328
31605	23095
2675	2322
8510	6800
13142	10172
41323	29535
25824	19151
42154	7180
3848	3241
19304	14626
42301	30142
38972	4717
22040	16569
25966	136
39869	28519
3753	1353
40297	28834
36568	26334
27261	20144
34053	24687
41658	29737
37760	27127
10679	8397
27264	20146
5802	4819
31591	23084
26790	19833
1850	1639
43820	31187
41320	29532
21993	4849
32143	23432
4517	3788
29551	21719
26839	14250
8373	6696
5895	4895
27761	20463
37051	26652
1434	1270
38360	723
6014	4998
15937	6832
12218	1061
30840	22604
26118	19349
18987	14385
36090	3411
36865	26513
31894	23286
27887	2842
34672	25119
26345	19513
44160	31407
6289	5215
11863	734
41345	13051
7485	6052
2254	1973
38885	184
25536	11567
16868	12868
33242	24158
28352	20874
4586	3847
29796	21864
30000	22017
29113	4862
21627	16301
28838	21231
7093	5792
43619	2066
29448	21649
10104	7991
22345	16788
11097	8699
43616	2066
8665	6917
10275	8103
5244	4373
28036	20656
21030	15906
24437	18205
41416	29594
33131	727
10630	8362
1777	1578
12730	9849
6565	5402
15181	11652
38462	27604
28035	20656
12343	9587
33022	24016
11487	8953
16210	837
12536	9704
1826	1621
7967	6403
20256	15345
21378	16142
3438	2925
16918	849
32606	23737
22570	16944
31644	23128
9509	5336
27912	628
30957	22694
16201	3081
32027	2853
25389	116
8200	6575
20060	15175
18071	5693
180	172
32096	23403
31498	23028
43617	2066
11985	1706
41691	29762
9057	7251
43126	30730
32366	496
27213	20114
10487	8255
25453	4571
5280	4402
31961	23320
5274	4396
30817	22581
25119	18681
20402	15444
36280	142
2660	2309
34054	9263
17190	13100
33946	1271
31211	22857
21820	16419
3976	3332
30221	22187
41656	20570
13452	10422
22411	3615
22785	17075
6869	18
13690	10603
35741	21463
34193	24799
15027	5380
30662	3076
27711	20429
30436	1682
40465	2012
11804	9190
27348	20204
5997	4982
20871	15789
32533	23690
2923	2530
44038	26546
18120	13805
25071	18663
24267	18090
14814	11402
42821	30509
2203	1931
23895	14096
31991	23339
29731	21834
16221	12426
39103	678
28045	20665
27899	20562
10819	8499
16495	12614
37731	27108
8073	6490
6713	5522
18592	14089
9158	7333
4176	3502
15496	11882
33941	24602
28042	20662
24515	18268
12058	9388
23013	2078
8347	6676
43856	31213
31104	22776
37421	26894
18973	14371
16063	12322
25842	19166
23514	1279
17489	5934
43485	30973
12839	9932
35285	21
42418	30214
32834	23897
40343	28869
12848	9938
43845	31205
25749	19088
13826	10624
34834	25219
29495	21676
23480	17558
3193	2749
4216	3533
17392	13261
32678	23792
26116	19347
30075	22075
41531	29669
12354	943
32358	23587
27047	20001
10756	142
23375	16916
30333	22262
15280	11719
26054	8640
1957	1736
33702	24468
27586	20346
14695	3814
18005	13713
23916	17837
21412	16164
41287	704
33909	19146
13019	10070
8426	6743
38980	14979
9968	7911
1063	969
33995	24636
22393	2899
35619	25749
2068	1820
36043	281
13177	92
14483	11154
30455	22343
28199	20769
9381	7494
44012	31327
25282	4937
27201	20103
14364	11073
15685	12040
42081	30011
30083	607
27216	501
23461	32
33630	3871
24037	17916
38952	27895
30300	1163
10843	8518
33649	4356
13618	10544
21283	16064
281	268
43756	31145
28245	3214
9437	7542
27759	20461
30772	338
30588	22431
34945	25288
38780	27801
35992	25973
19505	14777
11158	8728
36364	26213
25307	18794
1707	1517
40324	28853
41678	15829
28698	21113
6590	5421
11877	768
39341	28176
1693	1503
35633	25760
17010	12958
3281	2816
33502	24332
5390	4479
34907	25259
29430	21637
14128	1878
35587	7058
23493	853
18781	14221
29307	21566
12713	9835
15560	11934
30905	14096
2715	1924
29939	21971
38316	788
20702	15658
11520	8981
2245	1964
39933	974
35880	2222
38569	190
8722	6967
21879	7530
27498	1839
2837	2457
25646	3222
1913	1699
9952	1084
3345	2858
17931	13659
33831	24538
8147	6535
21932	3021
24106	17963
582	539
15838	12150
15912	12212
43194	19917
17096	13033
17465	11344
40205	28761
42668	915
27927	20581
26437	19578
28953	21314
27618	402
17581	119
36406	12553
16920	4532
5832	4842
16158	12384
13791	10681
34025	24662
29077	21409
22207	16690
43922	31248
35482	25668
8413	6732
3104	2676
13785	10676
24347	18145
19922	15075
43055	18981
37028	5261
9516	7587
40257	28807
30768	16123
33391	24255
24822	18497
4375	3666
35387	25610
34601	25084
10504	5148
678	619
4621	3873
19079	806
17726	13511
17679	13464
22999	17216
38242	2251
43430	30944
37567	18
28406	20910
10481	2865
3623	3068
29729	11431
15345	11769
11077	8683
43793	5148
32644	15566
5489	4565
22129	2282
30698	22499
29455	158
20740	15693
6305	5229
15055	323
31076	13
1580	1398
35402	25619
31712	2338
26342	19511
20861	15783
23800	17770
784	717
16096	12345
28586	21035
8604	6116
7956	6393
13760	10658
28664	21095
37435	22647
43739	1239
39946	26200
27803	20488
30783	3061
19394	14693
25337	18816
41795	29834
22909	17158
37182	26731
9186	7353
28759	21159
19990	15134
40476	28958
29255	3688
25964	19251
27590	20349
17599	1528
26334	142
38929	27875
25178	18715
7534	5200
9915	7876
22044	14151
40167	28744
22394	16821
1759	1562
31638	23123
28326	20854
21689	2102
40683	7154
34668	25115
26865	19878
42509	1353
14234	10985
37621	27022
35905	1078
27666	20397
29597	8569
19371	495
15375	11793
23797	17768
17548	13373
1256	1139
8017	6443
3307	2830
16211	12419
34723	25165
16791	2630
8360	6685
33150	24096
3088	2662
36076	26028
27163	20071
5765	4795
18041	13744
42927	30577
42781	30476
34877	7687
43280	30834
36924	26550
24780	18465
15479	11868
35705	9266
27740	20448
39940	26200
32035	23368
18082	13775
23418	14751
40549	29016
3129	2696
38906	27864
12207	9497
1829	1623
8305	6653
21950	16509
21868	16456
8327	6665
20249	15340
27756	107
42567	3303
43118	30722
26115	19346
16418	12562
22757	17054
38281	27486
24849	18514
7236	5887
3218	2773
8140	6535
16400	12548
10259	8096
3928	3295
5603	4663
34790	25193
11455	8928
9259	7404
34201	24804
2772	2402
1801	1598
12563	765
40242	28793
42008	6533
98	94
22749	921
37341	26839
20576	15572
8867	5531
12437	9634
23819	6349
17973	13690
13687	10600
24497	18255
11532	8990
3074	2651
19540	2992
37603	27008
9449	2601
18550	14065
36015	926
18461	14006
21842	16434
42721	30434
18	18
15909	12210
41662	29740
30669	19
30187	22157
29500	21680
19571	14822
4316	3617
35331	12720
2525	2191
26452	19588
29468	21662
29332	8998
43965	31289
8529	6818
14002	10822
6391	5294
3781	3189
30755	22531
15643	12003
10462	4643
12851	9941
35429	25630
22405	439
8903	7124
41870	1081
24794	18477
34004	1432
18288	13904
41799	29836
43216	6721
23222	4786
32140	5343
30702	22500
2810	2435
27638	158
23709	17704
6274	5204
41205	29464
41960	29935
8218	6588
43888	1126
8885	7106
34649	10093
33237	24154
24720	18421
12650	9790
43620	2066
39980	28605
31998	1126
37425	26898
25265	6028
124	120
17454	13302
27380	20219
22350	12638
19574	14825
39668	493
30548	22405
23420	17513
21404	5979
36628	26376
19671	7094
284	270
26360	19520
29039	269
21328	16101
25584	18978
33124	24081
3033	2620
37562	26978
44061	3917
35410	25618
43621	2066
32514	158
1908	1694
24315	18122
43472	30967
4605	3860
34948	25290
28001	20637
21211	1052
31772	23211
30605	5096
6396	5296
36597	26361
2554	2212
1598	1415
30033	22036
25057	8605
6604	5435
10534	1601
39408	765
19405	14702
13562	7610
13211	10224
18886	1815
21705	8622
43622	2066
41869	29874
8126	6528
8905	7126
38481	27619
21297	16075
10801	8488
38276	1279
39377	28192
12624	9768
13341	10330
32737	23831
25302	18790
3974	2995
18960	14360
23691	17688
40379	28893
36439	1878
42903	30559
32983	23984
13003	10055
39836	28498
2938	2542
12483	9671
31463	23006
28201	168
12945	10015
24035	2034
7438	6010
35089	1163
35003	25331
32050	855
33288	24191
4193	334
21536	16247
9264	7407
13583	10519
39319	28159
13061	10103
39193	28059
23971	17872
18568	3317
43624	2066
38388	27555
35764	10247
21945	16505
31129	22794
39905	28546
24735	18433
5786	1835
27004	17976
34386	4436
10388	8180
9050	7244
33185	1612
39165	28034
36393	107
37321	26828
9680	7696
9896	7860
41285	29516
31927	23300
16454	12584
756	693
15302	11733
19312	14631
43625	2066
8487	3170
15071	11565
12880	9963
36435	1878
30601	5096
17701	13486
9036	7230
40779	29183
17110	4674
34852	25227
29058	21394
25437	18883
43880	15571
8296	6647
43626	2066
37965	27261
21285	16066
20435	15469
5374	3023
26106	6887
11660	9087
21342	16115
1516	1347
23454	17542
22607	16974
43682	31096
15943	8559
4347	3642
43627	2066
10783	8474
22302	1835
3658	1501
23951	17858
41787	29829
23846	445
24185	18021
36651	26394
850	776
6037	5019
43103	30707
6622	32
33771	24502
13156	10186
33310	24201
6901	5652
2477	2153
14550	891
2493	2166
31235	22874
40174	28749
43554	31015
11493	8959
20246	15337
24090	8980
10140	8019
8407	6727
28986	3869
10326	1379
16245	12442
14233	10984
43963	31287
34716	25159
37452	4976
33623	24421
35249	25514
24770	18455
40599	29061
31741	23186
35612	102
28556	21019
29761	21843
39574	28320
38088	27347
38096	27353
7770	6261
34191	24797
31801	1831
43475	30968
10804	8490
14109	4724
17029	12975
28262	7674
22042	16570
35772	25845
34861	25233
11868	9236
20686	15648
9787	7781
36352	26198
12878	9961
15731	12077
6674	5492
14986	11510
7188	5857
5180	4333
19307	14628
11123	930
8501	6791
2182	1911
40154	28733
10897	8555
5164	4320
37093	26679
16804	9355
4564	3828
20885	15798
20808	15747
29100	21427
26718	19788
22904	17154
40172	28748
40068	99
14847	11422
18874	14300
19320	14638
28158	20738
11994	9337
8358	6684
21366	16133
40902	29265
17341	4969
28845	21237
14158	10933
35398	2842
35890	3133
16964	2423
17941	13665
42828	19595
37722	21807
42347	30163
41748	29808
32830	23894
22831	17101
25415	18870
8497	6788
30762	5089
29573	21740
23680	17682
24538	18284
6672	5490
36530	202
8359	6685
17953	13675
22947	17181
15233	11684
14964	11492
16902	12883
43668	31084
43791	7623
10938	2813
10374	8168
43810	31181
43374	30911
22047	16573
31343	22933
1944	1726
34658	6751
31879	23275
30323	496
28847	21237
16542	12643
36584	26349
8860	7084
41862	429
8363	6688
19088	14463
35775	25848
29227	21504
32978	23979
11632	9068
2840	2457
3451	2935
12885	9968
35421	6656
17255	13151
13346	10335
8003	6430
37980	27274
27839	20514
23817	17778
43317	30863
33808	3363
32243	23477
34838	7609
1017	923
9944	402
232	221
10620	8354
9966	7910
32037	10050
28087	20692
5246	4374
5924	4920
29501	2157
25871	19186
10914	8570
17286	2385
21480	16209
31413	6318
11059	8671
34289	24861
14810	11398
26594	19700
20164	15268
20675	15640
30703	22501
23936	17850
27865	20533
34768	20372
12490	9675
6069	5050
31230	16776
38397	27560
15217	5978
13820	10624
24132	690
10859	8529
27318	895
12915	9989
26323	19500
21201	8819
12662	9797
21360	10184
34526	25030
13421	10396
15211	11669
19502	14774
29891	3122
39190	28058
25984	19262
15335	11760
35390	9543
28894	1925
38950	27893
17280	13166
4005	3360
24400	13260
38753	2663
21839	16432
32734	23829
33752	24493
31088	22765
34591	25075
9570	7625
10078	4016
15063	11560
24164	4055
10085	7980
35276	25533
28648	21082
10284	283
42969	5447
39082	27974
32352	23584
6750	5549
3506	2979
37370	26856
42300	30141
39289	28135
39440	28226
901	824
41167	29436
6246	5179
10066	4005
19005	14399
31554	23055
21567	3066
39533	9928
7408	5997
42288	30133
30941	22678
7026	5743
43997	2276
3527	2995
40837	29224
21154	15993
27515	1718
36250	1678
41469	29627
33568	24384
7251	5897
28955	1868
41035	29343
35412	25625
29308	6943
25784	19119
17665	1126
32690	23799
43483	158
18006	13714
30969	5248
1841	1632
36910	26550
18303	13911
41417	2711
1909	1695
529	489
28124	20714
4013	3366
13459	10311
19690	1178
36168	2339
12303	9558
3166	2730
41907	29896
35895	6572
32172	17737
27471	20273
23735	17713
13271	10276
30443	22333
29782	5622
9797	7789
43438	27588
9883	7849
10226	8078
2382	2079
1624	1439
32649	2254
4880	4080
10676	8395
38391	452
36361	12064
27724	20435
14309	11030
36744	5531
3528	2996
39328	28166
25546	18949
38220	27447
16774	12804
18210	13861
12451	9646
17312	13193
3523	710
16172	12396
24111	17967
32390	23608
245	234
3422	2913
25721	19070
38931	27876
26177	19399
8122	6521
16823	12839
42656	30393
28853	21244
30435	1978
28013	1432
25668	19027
40932	29280
20131	15242
39758	28444
8652	6910
7824	6292
11011	8636
18404	2732
34826	25213
27945	20596
40801	29198
9971	1047
15386	3204
20657	15628
33058	24046
26566	19675
38098	27354
856	782
42016	17847
11916	9273
43887	31226
2084	1835
38573	27679
20593	4674
4920	4117
6454	5335
36327	26188
3681	3109
38355	27529
11799	9185
27378	20218
31637	23122
27529	5080
29342	2711
12290	9548
42265	30123
1137	1031
20320	15393
33843	24548
13235	10248
25568	18969
21729	16369
43090	30698
8685	6936
14711	11321
14963	11491
15008	11523
31268	22300
27661	20392
828	756
29512	21688
20347	15411
36985	26608
37447	26908
7586	501
21828	2197
32750	23841
40262	14375
15094	11583
30566	22416
29362	7734
5709	4752
41067	29370
42945	1197
18598	2955
27298	2048
2947	2549
19293	14615
3615	3064
39071	27965
596	553
24335	1885
11577	9026
9084	7274
16134	12367
23398	17494
30771	22523
28490	20952
4715	3952
36829	10221
35330	25569
1795	1594
22908	17157
11867	9235
36792	6578
11928	3341
159	155
35063	25376
1062	968
10956	8600
35663	25785
3945	3310
20213	15312
33985	24629
27351	20205
1696	1506
41399	29584
64	61
13395	10373
26329	3122
43072	30682
37862	27195
33302	6708
35860	6176
4339	3635
32526	5106
7553	5217
35655	25778
26428	19572
9852	7828
17477	2829
28690	1047
40639	3615
24684	4903
191	182
24536	1052
26639	19731
11734	8819
2103	1853
14386	11088
7274	5917
13824	10707
33388	520
34685	25132
38720	1049
23376	143
8794	7028
40945	29288
18410	3319
27660	20391
23669	17675
39173	28042
36923	26562
13671	10586
18858	14285
75	72
28807	21204
19086	14461
28964	21321
8077	6494
20979	15861
19477	14757
18225	13868
3821	3221
4353	3648
9131	7312
16952	12919
18359	13947
14836	2063
39023	27943
1209	1098
7689	6198
4898	4097
21505	16223
7587	6124
24972	496
36914	26550
14980	11506
5044	4219
32402	19261
37546	21048
5273	4395
41405	4707
23049	17247
42641	30385
18954	14354
37392	26872
32751	23842
37558	26974
13679	10592
43061	30673
8520	6810
27972	20619
9715	7721
13403	10380
1427	1264
31878	3037
30499	2757
18448	13996
16469	5573
14014	10833
7440	6014
872	797
5755	4785
1420	1257
17372	13244
40918	18984
6958	168
6966	5699
8997	7193
31002	22718
19510	14782
20493	4388
9643	7672
25223	2445
24473	18234
25515	18929
10944	2813
42319	6738
32303	11037
11751	9154
37871	27199
24112	17968
35109	799
9814	7801
12953	9081
15042	323
36989	26610
15955	12249
19625	14856
44076	31357
28974	6215
8644	23
13865	10727
9802	7791
8666	6918
5649	4702
22178	16666
21695	13375
37928	27239
34251	24831
32057	23382
1568	1386
35017	25342
30799	22565
14738	11335
43134	30738
29557	7640
44050	31342
42620	472
2910	2518
37614	27016
42234	30105
29585	1924
43912	31242
17571	7673
27971	20618
6788	5575
33264	700
3028	2617
36401	1878
8203	6578
32367	23591
27938	20590
27464	20268
14444	11131
35416	12799
700	640
38264	27476
33397	1111
9702	7713
