actedby	movie
26002	2473
31224	2962
8142	712
5919	478
17351	1634
2763	193
32087	3049
39883	3834
25966	2468
8307	732
641	44
13526	1251
32694	3116
42428	4108
11818	1102
2007	148
26925	2578
13177	1209
17515	1650
11679	1089
20748	1979
22569	2166
32589	3104
24526	2316
117	21
31223	2962
8141	712
26003	2473
2762	193
11769	1095
17352	1634
39884	3834
25965	2468
10339	928
13527	1251
8308	732
640	44
32695	3116
11819	1102
42429	4108
1316	97
20747	1979
26924	2578
2008	148
13176	1209
17516	1650
24527	2316
28148	2684
5917	478
26004	2473
31222	2962
25968	2468
39885	3834
2765	193
8140	712
32089	3049
8309	732
2005	148
13524	1251
32692	3116
24524	2316
13179	1209
42426	4108
26923	2578
17513	1650
36690	3527
11677	1089
1317	97
20746	1979
22567	2166
31200	2960
26005	2473
5918	478
28149	2684
31221	2962
25967	2468
17350	1634
32088	3049
2764	193
39886	3834
20745	1979
42427	4108
2006	148
32693	3116
33463	3188
642	44
13525	1251
24525	2316
11678	1089
22568	2166
13178	1209
17514	1650
1318	97
39887	3834
17859	1679
11181	1025
14355	1334
11766	1095
4032	314
31220	2962
8146	712
19453	1858
12271	1147
32698	3116
36692	3527
31202	2960
8303	732
24522	2316
38210	3693
996	72
33408	3184
31160	2951
113	21
11675	1089
1319	97
36648	3522
13173	1209
17511	1650
39888	3834
11182	1025
11765	1095
8145	712
11020	1007
17286	1624
14354	1334
19452	1858
32699	3116
31201	2960
17512	1650
36898	3551
36691	3527
11676	1089
8304	732
33407	3184
31161	2951
114	21
24523	2316
24089	2288
36649	3522
13172	1209
25964	2468
13528	1251
31620	2991
11183	1025
2761	193
39889	3834
11768	1095
8144	712
23965	2275
26000	2473
4030	314
31204	2960
14569	1350
36646	3522
13175	1209
2009	148
11673	1089
32696	3116
24520	2316
38212	3693
31162	2951
8305	732
115	21
13529	1251
11767	1095
17858	1679
8143	712
14359	1335
23964	2275
2760	193
4031	314
26001	2473
11128	1018
31203	2960
36693	3527
20749	1979
32697	3116
36647	3522
13174	1209
17510	1650
24521	2316
11674	1089
33409	3184
38211	3693
31163	2951
8306	732
116	21
31621	2991
25573	2421
20740	1979
31164	2951
38214	3693
15145	1430
32617	3110
10332	928
14303	1331
14567	1350
29397	2796
11889	1110
7505	651
5911	478
31207	2960
17359	1634
42317	4094
26174	2496
23967	2275
14358	1335
32581	3104
28421	2709
11023	1007
26337	2517
38213	3693
25572	2421
32616	3110
10331	928
14302	1331
15146	1430
31165	2951
7504	651
14568	1350
5912	478
29396	2796
8300	732
31205	2960
31206	2960
14357	1335
32582	3104
9880	888
2119	153
42316	4094
23966	2275
28422	2709
11024	1007
32615	3110
29399	2796
10334	928
31166	2951
25575	2421
38216	3693
14565	1350
14305	1331
15143	1430
8301	732
7507	651
549	42
23969	2275
17357	1634
32583	3104
11021	1007
15613	1463
31209	2960
9188	813
14356	1335
27679	2642
26464	2532
31167	2951
38215	3693
32614	3110
10333	928
15144	1430
14304	1331
25574	2421
8302	732
5910	478
29398	2796
23968	2275
7506	651
14566	1350
3320	242
24598	2322
11022	1007
15612	1463
32584	3104
17358	1634
9187	813
36510	3508
31208	2960
31229	2962
35799	3442
31168	2951
5915	478
547	42
32585	3104
29393	2796
29200	2780
33462	3188
10336	928
14307	1331
5402	429
13522	1251
14563	1350
18103	1719
20744	1979
25577	2421
40674	3927
7509	651
38219	3693
8799	771
31228	2962
14308	1331
11027	1007
27677	2642
15611	1463
3321	242
17355	1634
32586	3104
31169	2951
548	42
29392	2796
33461	3188
10335	928
13523	1251
14306	1331
5403	429
26465	2533
25576	2421
38217	3693
7508	651
14564	1350
20743	1979
18102	1719
38218	3693
8798	771
27678	2642
11028	1007
15610	1463
21551	2066
31227	2962
17356	1634
5916	478
545	42
24528	2316
15148	1431
29395	2796
32587	3104
25579	2421
5913	478
13520	1251
15147	1430
20742	1979
34730	3320
10338	928
14561	1350
17353	1634
11025	1007
31226	2962
29394	2796
15149	1431
24529	2316
546	42
32588	3104
5914	478
25578	2421
36270	3484
13521	1251
14562	1350
5401	429
32618	3110
10337	928
20741	1979
5400	429
27676	2642
14309	1331
11026	1007
17354	1634
31225	2962
8794	771
18712	1789
40331	3885
26126	2487
17591	1656
42298	4090
42874	4145
42433	4110
22718	2175
35005	3347
14785	1378
14572	1350
42688	4123
29902	2851
8854	778
544	42
15900	1496
36505	3508
35796	3442
14360	1335
40332	3885
26125	2487
18713	1789
42875	4145
8795	771
42299	4090
17592	1656
11019	1007
29794	2839
14520	1347
14571	1350
35006	3347
22717	2175
543	42
14361	1335
17593	1656
35795	3442
42687	4123
24090	2288
36506	3508
18714	1789
8578	742
40333	3885
18309	1734
8796	771
35003	3347
11018	1007
14570	1350
42435	4110
36507	3508
35798	3442
29904	2851
24091	2288
8856	778
542	42
17590	1656
18715	1789
40334	3885
11792	1100
8579	742
8797	771
35004	3347
11017	1007
40690	3929
541	42
22719	2175
36508	3508
42689	4123
29903	2851
42434	4110
33410	3184
35797	3442
8855	778
24092	2288
35001	3347
25048	2368
29907	2851
35791	3442
8790	771
8576	742
30652	2921
15615	1464
7500	651
5920	478
37936	3668
29906	2851
29791	2839
42437	4110
36509	3508
14310	1331
28184	2685
8858	778
540	42
36264	3484
28909	2755
22570	2166
15142	1430
35002	3347
25047	2368
8577	742
8791	771
35790	3442
7501	651
449	37
42436	4110
998	74
37935	3668
29905	2851
29790	2839
14311	1331
15614	1464
8857	778
15141	1430
36263	3484
8574	742
32580	3104
35793	3442
17898	1686
29909	2851
8792	771
37938	3668
29793	2839
42439	4110
36266	3484
35794	3442
11821	1102
7502	651
30650	2921
24081	2284
14312	1331
35000	3347
25049	2368
31648	2994
35792	3442
17899	1686
8575	742
29908	2851
8793	771
37937	3668
29792	2839
40330	3885
11820	1102
7503	651
42438	4110
30651	2921
8859	778
36265	3484
14313	1331
25043	2368
23666	2251
11684	1089
22574	2166
42680	4123
24531	2316
2000	148
24097	2288
31623	2991
21137	2021
11760	1095
2759	193
42421	4108
36268	3484
37932	3668
33415	3184
11823	1102
36645	3522
8137	712
7561	656
40033	3855
17896	1686
31908	3028
8572	742
14527	1347
28143	2684
25044	2368
23665	2251
11683	1089
22573	2166
25042	2368
23667	2251
24530	2316
11761	1095
24098	2288
33416	3184
31622	2991
6457	536
21138	2021
42420	4108
36267	3484
8138	712
37931	3668
11822	1102
19280	1844
36644	3522
12628	1168
40034	3855
17897	1686
33556	3196
7560	656
28142	2684
8573	742
28429	2710
14528	1347
42682	4123
6456	536
11762	1095
11682	1089
13170	1209
22572	2166
31625	2991
112	21
14525	1347
24099	2288
11825	1102
36643	3522
37934	3668
12629	1168
40031	3855
8135	712
7563	656
12270	1147
17894	1686
25046	2368
8570	742
23663	2251
28428	2710
22711	2175
21135	2021
23406	2232
28141	2684
11681	1089
22571	2166
31624	2991
6455	536
21136	2021
11763	1095
42681	4123
14526	1347
13171	1209
11824	1102
36642	3522
36269	3484
37933	3668
40032	3855
7562	656
17509	1650
8136	712
25649	2429
28427	2710
17287	1624
17895	1686
25045	2368
22710	2175
23664	2251
32885	3133
11764	1095
8571	742
28140	2684
23407	2232
36641	3522
26928	2578
24093	2288
17508	1650
42425	4108
8105	705
22578	2166
32522	3100
15893	1494
33411	3184
40382	3888
2004	148
14523	1347
11827	1102
31627	2991
11680	1089
12978	1190
40691	3929
42684	4123
39880	3834
19283	1844
2754	193
21133	2021
22713	2175
28426	2710
28147	2684
7565	656
17892	1686
33559	3196
40335	3885
25969	2468
17507	1650
36640	3522
26929	2578
7345	636
33412	3184
33833	3222
24094	2288
11826	1102
42424	4108
32523	3100
15894	1494
32900	3135
22577	2166
40381	3888
31626	2991
2003	148
14524	1347
42683	4123
12979	1190
40692	3929
19284	1844
2755	193
22712	2175
21134	2021
28146	2684
28425	2710
17893	1686
7564	656
40336	3885
40030	3855
36262	3483
7344	636
32520	3100
15891	1494
31629	2991
42423	4108
32901	3135
26926	2578
42686	4123
33413	3184
17506	1650
17594	1656
19281	1844
33832	3222
8139	712
22716	2175
2002	148
14521	1347
24095	2288
22576	2166
40693	3929
25041	2368
11829	1102
23668	2251
28145	2684
39882	3834
2756	193
12976	1190
7343	636
33557	3196
28424	2710
42876	4145
32902	3135
32521	3100
15892	1494
33414	3184
15901	1496
42685	4123
17505	1650
42422	4108
26927	2578
39881	3834
19282	1844
2758	193
2001	148
14522	1347
24096	2288
22715	2175
12977	1190
40694	3929
31628	2991
25040	2368
22575	2166
11828	1102
40383	3888
40384	3888
28144	2684
22714	2175
21132	2021
2757	193
28423	2710
7566	656
33558	3196
2777	193
39873	3834
35779	3438
17361	1634
23383	2229
8152	712
39206	3777
3315	242
7042	605
22555	2166
42414	4108
17525	1650
15049	1419
20307	1942
36638	3522
451	37
32906	3135
8398	736
11808	1102
36455	3502
631	44
13536	1251
32680	3116
24536	2316
39874	3834
35778	3438
2776	193
31170	2951
23382	2229
11759	1095
8151	712
17362	1634
39205	3777
3316	242
42880	4147
24537	2316
17526	1650
42415	4108
25630	2426
22556	2166
33978	3237
32905	3135
8399	736
36639	3522
32681	3116
31171	2951
450	37
630	44
13537	1251
11809	1102
36456	3502
7043	605
2775	193
16840	1593
23381	2229
17363	1634
11758	1095
39871	3834
13538	1251
3313	242
26014	2473
13482	1242
15890	1494
22557	2166
36453	3502
17527	1650
24538	2316
7044	605
32904	3135
34137	3251
32682	3116
11806	1102
20305	1942
42416	4108
11757	1095
17364	1634
2774	193
16841	1593
23380	2229
39872	3834
13539	1251
3314	242
16610	1572
13481	1242
22558	2166
24539	2316
17528	1650
36454	3502
7045	605
42417	4108
11807	1102
15048	1419
20306	1942
32683	3116
32903	3135
22260	2136
5909	478
26012	2473
11756	1095
3319	242
13484	1242
636	44
39877	3834
2773	193
14518	1347
42418	4108
22422	2146
32684	3116
17521	1650
24532	2316
36459	3502
11685	1089
635	44
14351	1333
31174	2951
38200	3693
13197	1212
22559	2166
36634	3522
11030	1007
13483	1242
26013	2473
13199	1212
33208	3169
11755	1095
2772	193
39878	3834
14517	1347
22261	2136
42690	4123
11686	1089
634	44
32685	3116
31175	2951
17522	1650
14350	1333
22421	2146
42419	4108
27680	2642
32909	3135
24533	2316
39731	3819
13198	1212
36635	3522
13186	1209
26010	2473
19900	1896
33209	3169
2771	193
11031	1007
39875	3834
3317	242
31630	2991
11754	1095
25581	2421
24534	2316
36457	3502
32908	3135
31172	2951
27681	2642
633	44
36636	3522
13185	1209
22424	2146
32686	3116
17523	1650
11687	1089
26011	2473
19901	1896
2770	193
15150	1431
27682	2642
2	2
14519	1347
14353	1333
39876	3834
25580	2421
11753	1095
17360	1634
3318	242
24535	2316
32907	3135
31173	2951
11752	1095
36458	3502
14352	1333
22423	2146
36637	3522
13184	1209
632	44
11688	1089
32687	3116
17524	1650
15985	1503
11899	1110
537	42
32688	3116
38204	3693
37645	3629
31178	2951
29278	2790
6563	543
14317	1331
20750	1979
22426	2146
6334	511
31218	2962
3852	293
32595	3104
17369	1634
6352	514
15986	1503
32596	3104
999	74
32689	3116
31179	2951
11898	1110
538	42
38203	3693
29279	2790
22425	2146
14316	1331
6333	511
3851	293
31217	2962
639	44
11897	1110
33139	3163
9870	888
6408	527
40114	3863
6353	514
36129	3471
15983	1503
13195	1212
14315	1331
20752	1979
22428	2146
38202	3693
31176	2951
13530	1251
29276	2790
638	44
6332	511
3850	293
6409	527
6354	514
32593	3104
39879	3834
539	42
15984	1503
13196	1212
1884	143
35759	3434
38201	3693
29277	2790
20751	1979
22427	2146
31177	2951
17520	1650
13531	1251
14314	1331
31219	2962
637	44
6331	511
6355	514
32594	3104
5509	442
29274	2790
13532	1251
30647	2921
5924	479
20754	1979
29788	2839
7046	605
533	42
36504	3508
18552	1765
28912	2755
9873	888
28911	2755
26127	2487
3311	242
26723	2552
6356	514
5925	479
17365	1634
13049	1201
38209	3693
7047	605
20753	1979
30646	2921
29275	2790
5923	479
13533	1251
29789	2839
19149	1829
26164	2492
18553	1765
22429	2146
36503	3508
6357	514
534	42
9874	888
17366	1634
26128	2487
3312	242
28910	2755
36689	3527
38208	3693
13297	1223
3855	293
13048	1201
13534	1251
30649	2921
8103	704
27669	2638
38206	3693
29786	2839
7048	605
28914	2755
32597	3104
26129	2487
535	42
36502	3508
6358	514
36688	3527
36501	3508
9871	888
31216	2962
17367	1634
3854	293
13047	1201
38207	3693
8150	712
5927	479
13298	1223
13535	1251
14318	1331
29787	2839
38205	3693
8104	704
7049	605
30648	2921
536	42
28913	2755
9872	888
15966	1500
3310	242
31215	2962
17368	1634
3853	293
5926	479
13046	1201
14319	1331
25767	2445
14242	1328
26276	2509
24172	2296
12632	1168
11632	1087
3847	293
26136	2487
32512	3100
29916	2851
14320	1331
40027	3855
5511	442
9878	888
530	42
30642	2921
19273	1844
8102	704
280	31
29785	2839
34732	3322
11029	1007
26277	2509
14241	1328
25768	2445
11890	1110
26135	2487
11631	1087
3848	293
12633	1168
40028	3855
29915	2851
14321	1331
9877	888
36135	3471
5512	442
8101	704
19274	1844
30643	2921
700	46
29795	2840
32513	3100
29784	2839
26278	2509
23225	2216
26138	2487
24174	2296
11891	1110
12630	1168
5513	442
9876	888
532	42
40029	3855
29914	2851
29783	2839
19275	1844
32514	3100
30644	2921
701	46
36134	3471
8100	704
702	46
26279	2509
23224	2216
42318	4095
3846	293
26137	2487
11892	1110
12631	1168
24173	2296
531	42
5514	442
29913	2851
9875	888
42444	4110
19276	1844
32515	3100
36133	3471
30645	2921
11893	1110
26132	2487
32592	3104
40023	3855
38700	3733
12980	1190
32516	3100
19277	1844
14324	1331
12637	1168
15887	1494
5515	442
5516	442
32591	3104
40024	3855
11894	1110
12981	1190
19279	1844
38701	3733
26131	2487
25629	2426
32517	3100
