actedby	actor
14781	6351
477	475
30662	3654
32815	5199
19278	569
36873	2415
15535	6078
34999	8038
16981	3544
34294	6365
25730	326
16171	8501
33406	6403
18582	5651
11416	6725
13762	7969
2324	2197
3414	3125
41775	5587
40867	5070
37724	9129
25938	5076
9061	735
26220	3511
40816	6948
41580	7637
42740	6443
29667	9727
7708	1389
862	847
32911	7994
36525	6816
11286	7260
16960	5079
26602	712
29806	4114
25508	6575
2144	2039
33249	6
42273	9436
3429	3138
2357	937
26469	1086
1789	1714
19912	4636
31094	4928
1795	1720
15599	7894
42063	9323
35698	2754
38640	7549
30597	960
9640	6655
832	820
10777	7095
33204	3375
16653	3469
23745	3134
32838	5138
26730	8071
37984	9104
7979	5797
355	353
19428	2033
18615	6391
1117	1088
39824	6452
38820	1044
12071	7487
24136	8935
3425	3134
29271	9776
3029	2801
1549	1494
5048	4286
18039	1353
8106	2596
4014	3574
39308	1890
31835	8585
10301	6449
11506	4268
9993	6794
1426	1381
42984	9167
5090	3145
6136	4988
4566	2580
4029	21
13262	4492
20486	8703
25049	322
10877	5231
24726	9232
34465	7489
8025	5911
24972	6519
1515	1462
14241	7778
12996	2166
40983	8508
1249	1216
28833	7638
732	723
24269	4479
5994	4890
32614	3159
21668	2083
4016	2805
32554	6907
42942	6448
14749	8211
17579	2038
20443	5364
39627	9295
22425	3030
21563	9314
10272	6911
12038	3611
10909	4808
11635	7369
41776	4266
41991	6807
34586	6813
42152	1143
6542	5209
2755	2560
24380	391
13217	7829
19737	4699
36883	4841
18491	4993
13768	296
41364	4761
40920	1642
5292	4435
30930	2149
7937	5869
11989	6106
35147	1744
32406	9414
9924	6761
40850	1995
34170	8658
796	785
7880	5845
30594	3850
17778	5426
11858	5359
26196	9151
2477	2332
42594	7829
30609	4420
14264	2026
20404	4075
42936	5312
20059	1622
39392	4899
28021	134
5775	4752
37774	2049
42018	6708
19608	493
30735	2930
15503	6032
15278	4179
40574	8129
9104	6441
11030	7178
34040	5408
32932	849
14991	3483
7190	5533
1664	1601
21903	6989
2136	2032
848	779
41910	2393
26307	1819
39102	9912
5930	4846
28890	1835
25124	880
35690	1026
29383	9559
38583	3681
23303	4130
39617	9174
34591	9169
13709	5623
29712	71
41714	1956
26965	5407
9669	4566
19009	3866
1215	1183
34393	8362
35995	9890
32024	8939
11128	6999
32572	8957
23862	9417
37612	2900
23014	7445
24630	8870
41717	7679
27915	2319
8492	6166
32867	2487
6255	5058
15224	8323
12082	4072
40997	146
26291	7305
9092	450
32136	2455
26348	8327
40834	6224
36820	8590
8483	3506
12556	7620
32381	2772
30535	3729
2504	2356
39927	264
12759	7682
25580	8759
11170	3650
12698	6479
3378	3099
14495	2399
15047	630
29402	2611
41826	3604
2785	2589
29323	1359
6125	4243
43012	6471
8504	15
10192	6874
1684	1621
26423	8977
8077	5942
17338	8679
22173	6163
12635	831
15601	744
39466	1039
34581	3176
19565	1343
38434	2641
7793	1371
19300	405
42409	8738
12015	3727
6270	5070
4344	872
19567	4810
30398	2019
