movie	actor
812	4650
4143	2410
1123	7475
1386	8234
1565	3989
4114	3393
4002	2386
2386	1938
638	5607
2101	6815
1118	7462
1129	4555
1457	6060
2345	4545
363	4016
3743	4302
210	535
186	1727
920	6907
3443	1132
31	273
2249	8206
1653	5536
3744	3520
4019	873
2799	259
1473	2524
2193	4319
883	6707
46	698
2999	6450
2209	1503
1224	1321
500	5024
397	4279
2338	8863
2378	7544
124	1631
490	4908
2080	9323
2844	3603
1030	2138
1975	5539
3368	2194
1875	9075
2473	4503
2200	7659
52	770
1838	6321
2186	6001
4096	8769
87	1125
2628	1287
887	6733
317	3635
3159	6194
2227	5494
60	831
1338	202
2646	5953
2260	2744
2988	4654
2119	3924
560	4610
369	3715
163	2190
189	2545
1753	7469
1219	7074
1805	8956
1156	4064
1682	8778
3093	6319
3690	3068
270	501
3963	2083
958	7010
3944	984
3933	2964
96	1277
1964	7735
1595	6028
3135	8894
1727	4234
3103	256
2855	9871
2386	6376
201	2716
212	2051
3207	9748
3340	1115
1829	5046
2894	1805
828	6497
454	4656
2029	7457
3963	9899
459	4697
2350	2432
1456	8366
1801	5683
4115	6388
2988	9697
2273	1901
1515	8228
3855	4909
1443	8337
627	5544
2436	2748
2193	1431
3774	6264
447	4612
3401	6802
1744	1677
864	5298
3126	8262
2991	9426
3532	191
1669	4780
1348	3931
3517	762
3794	7771
2019	6399
87	109
1844	4639
920	6901
3081	6898
3040	201
4064	9694
1189	7753
1569	8579
2185	7259
2631	9265
2334	9428
2522	9269
376	4136
3103	7869
1659	3467
53	777
892	6755
3413	7984
3052	3916
2435	195
1596	5075
732	6043
2583	3261
1455	4685
2969	9215
2878	8745
2871	5850
1680	7852
3393	635
650	5666
1097	4079
832	6517
3368	5066
1148	7564
984	4393
209	2774
2824	2058
2036	925
3393	349
2277	5048
2290	957
2933	7384
4034	24
3114	6320
3598	3442
2935	5271
2561	5396
1456	2678
3989	7793
863	6614
2984	8818
2299	3231
1872	6279
2175	6117
4073	1133
1305	4773
2243	6975
2085	8034
1086	3399
2109	9006
877	772
2678	1980
537	2041
2943	8854
3936	1246
1444	460
1729	8842
3493	4572
1850	1542
905	6821
664	5738
2044	8886
2192	7596
1089	6694
2143	68
3286	7537
2856	8371
2615	8665
915	6864
430	4518
617	5507
2881	9425
2720	5351
2063	2459
2206	7461
41	501
1726	8826
1622	4404
3282	2651
1358	2549
2338	3111
1380	8229
3242	1725
4123	3952
1824	6715
897	6776
395	396
4019	209
161	2113
3109	2938
2998	8386
46	692
2877	9
832	5127
1900	9128
77	1003
1821	1538
4024	8137
247	3097
3664	7191
3709	9305
3016	8613
2715	138
976	6582
3967	9284
2800	6004
1077	7341
1380	1734
3531	3833
3319	8974
665	57
4128	8595
1914	6742
890	4579
2783	2385
3708	5276
211	2804
4064	4359
2793	2318
2611	6444
2718	9814
423	3793
2243	4982
2523	9237
1054	7282
641	5007
3136	9526
1998	4501
56	793
3888	1826
3327	2760
1291	2813
3501	2641
2931	7237
708	1759
989	3557
4023	5113
3606	9224
2630	8757
1622	8665
2855	7261
1230	5565
1319	7181
2315	62
3161	6627
528	2016
1651	8311
1721	4166
376	4137
1847	5194
3132	8651
42	568
3554	9523
2333	7934
2930	155
36	349
1846	405
2592	7287
1347	7815
916	1368
3146	5805
700	2276
1404	8263
3770	7204
2787	2393
2599	8845
3464	2935
1011	1001
3939	9761
3994	2222
1284	3681
3820	319
778	4744
3797	3539
1787	755
3211	517
2378	7976
144	1836
1132	5942
4115	6975
1148	6059
1000	4613
2373	7359
385	3524
732	6038
4023	3465
2473	3287
450	4644
1847	9034
3802	9888
1857	564
4044	2371
922	30
2397	9036
144	1841
3930	6260
3478	6456
31	259
2452	5943
1033	7238
4105	477
3641	6316
2366	9099
1596	5079
3329	5471
1415	8286
1003	3320
2033	2820
1975	7893
1717	2795
165	612
257	19
784	6352
165	2211
3352	9542
3237	4309
3696	3093
3720	4833
3070	5610
1536	8508
2274	8776
2603	6548
830	6504
2925	6365
3554	4060
35	306
3525	4791
3893	3722
727	3094
1424	8130
2075	4152
3512	5596
148	412
1208	5656
1798	4814
1898	9124
3606	6148
1089	7377
686	3009
605	5457
420	3035
2143	6186
2350	6718
2800	9855
2597	7182
429	1309
4158	769
2125	9374
3231	7873
1050	6533
2315	56
1726	3268
310	2937
384	4194
2817	3874
260	204
3861	2117
3935	8604
2946	4794
835	3320
77	825
883	6715
3302	1054
2448	664
788	6381
496	4933
78	1031
1804	5907
1965	7537
1551	3321
3897	3352
3279	8203
3194	5235
994	7134
625	4515
1403	4830
1258	7921
966	1602
4123	9327
2767	8221
858	6596
1382	4545
2696	842
2671	2443
1529	1141
3797	3354
318	3660
3533	6851
989	5809
1240	7888
4060	564
3288	8151
3992	5049
698	960
9	45
2734	8653
1209	7242
2180	5865
3361	2797
738	6156
1621	8661
3783	7473
2609	6661
1025	4314
3888	303
3519	4533
3346	8543
2883	2083
2454	4310
1374	4907
2671	9492
1968	306
1943	9175
2962	9386
2775	7131
475	4801
3107	4671
