roledby	actor
12840	6134
13873	3928
247	236
7775	4183
21274	9222
17709	6961
35345	3376
18868	6750
33801	5935
3161	2849
36632	8018
20304	8868
12400	7493
1306	1241
10642	6951
25856	4638
30869	4873
40958	9472
40035	1364
25232	4138
9386	4369
37296	9342
26870	6192
7127	330
43743	2165
17179	4216
19790	7749
40810	2027
10316	5696
2760	2508
7257	4462
33333	3943
42575	9774
42025	4268
28886	3769
5774	1525
36297	8770
19104	8097
262	247
14342	1669
23747	5978
36873	9082
4180	3596
4673	3978
10728	781
18479	8789
29385	8773
30771	7913
31332	9456
6095	4847
28117	8233
8448	6011
9449	1645
36759	3822
41249	6524
43601	3027
37615	6253
11756	694
22524	9360
8634	6132
17718	5218
26603	196
9800	5154
20152	7655
33056	5953
9976	89
29397	6770
25797	9623
42077	9395
8776	6193
842	803
37552	8917
31594	7526
29098	9163
37589	7517
31063	7736
40955	2758
39684	4872
15266	7594
24424	4092
14074	7951
15290	160
22148	6883
30045	6879
42314	1501
636	604
21060	466
36737	1990
13894	2999
37414	7308
26174	3873
38646	3494
16200	4923
17248	134
29011	7923
26415	764
13744	6650
22106	2459
41181	5368
25559	1096
6098	4849
22569	5544
238	230
8536	6061
15861	2683
31058	2030
36819	2380
4229	1255
14025	7105
35779	6290
25103	5746
6136	4716
20075	8109
40663	1167
8840	4636
23275	4660
28818	6377
38643	7594
19078	1324
32074	9908
22793	2709
857	817
5368	4387
13587	7836
2335	2155
24949	9557
4936	4148
23943	2652
35038	8021
40534	7584
32090	8299
18277	8749
2072	1924
34364	7385
30762	34
25971	7881
10497	6897
40844	1040
37274	7534
23509	1573
13309	640
26809	4897
11502	5564
7957	2985
13897	2999
33360	9463
26728	5992
4516	3864
17479	4770
2811	2549
13691	4430
405	385
22196	4152
2838	2573
18412	8780
39608	4130
13217	7721
19948	288
21772	2929
40585	6317
17290	3101
27823	6340
34350	4466
15961	7571
33164	201
27317	2588
30899	3134
5737	4625
5650	4575
28695	2456
18630	8817
34056	8834
10944	7056
26979	942
2784	2529
20549	5459
6445	2290
20055	6370
25845	5097
10468	4467
3987	1765
6014	1453
41602	645
41122	2185
41179	2776
1376	1299
16	16
27037	3452
16085	4965
3899	2198
17228	1426
13470	7113
12273	2430
20412	4886
37705	3508
33100	1751
15988	1164
11006	2558
8832	1986
16030	498
7225	5208
19966	2085
23056	489
26841	8871
18678	6230
3528	3115
33809	601
16028	2272
41736	1641
43804	1416
22689	4772
16490	8481
3760	2448
35298	9869
28776	548
41123	2185
38068	9852
4201	3632
14934	4621
28479	5355
20014	3645
31294	7990
29036	2344
15099	467
28643	8865
9949	6197
1159	1100
30838	9805
10125	3909
6680	2535
21312	7209
30055	3551
11224	2303
13058	5500
15777	6578
37436	8853
23464	5775
6694	3350
16809	8396
180	178
19954	7627
3690	3272
32150	9299
40359	7489
5808	4673
36052	5996
2958	2683
4911	4130
28382	4493
15048	4302
7377	5159
21208	6008
11526	2402
38593	9899
36190	4230
26490	9268
39911	6105
18444	1854
20562	8977
14273	4405
28657	6008
43969	6775
25638	6484
12062	2083
2425	2233
42187	2449
29317	6670
40283	4406
17485	344
10442	4569
7840	3729
6980	3191
22225	418
13507	2376
40084	7677
4676	3978
13079	3037
42035	992
16284	8436
43180	4078
11282	7166
7573	5597
41253	2575
26292	4660
37602	9966
36456	8348
1437	1351
19228	5300
40814	9409
12130	7428
37629	2775
36607	3800
26400	6890
14417	4282
41265	2591
32269	1006
34720	8182
12495	7528
8488	6026
22104	9311
4043	3527
37437	359
10982	7069
8251	1399
16006	8377
17879	6356
7806	4341
14686	460
30467	892
7870	5736
32201	8987
27931	7786
12578	284
15795	3111
41140	4342
11892	7351
11558	7252
14652	2122
31971	7579
8175	5877
2246	2080
35775	3965
4281	2318
27250	5485
30699	439
28721	456
32541	9313
8284	5934
13240	7733
18719	5525
43187	7998
32279	6336
1980	1842
17165	2023
33066	5068
9580	6530
42652	8534
40899	8403
2905	2634
22747	939
37496	4606
32077	3497
37294	5248
15127	3310
19095	2049
41093	6318
43598	5079
11570	7257
17811	3967
30849	2434
10796	7015
16705	6188
23545	8847
13211	7717
3035	2745
3714	3292
40696	31
7280	36
32035	8863
27334	6540
26376	9462
34053	9591
27836	6529
7468	5563
5012	4198
15604	8316
23207	6621
12742	5516
18975	8877
8987	6282
14964	8172
22742	2109
12989	4939
26302	1620
38776	5639
33411	5894
17900	744
5515	4490
5769	4648
17212	8601
22451	3835
16010	473
25095	9570
19588	8047
32718	1195
8160	5871
39274	9847
4251	3675
38466	560
30692	5193
25343	7917
6743	5219
12965	6960
14801	653
23940	4317
43952	6765
42757	7670
30486	514
26039	4016
28187	1094
10549	2316
7402	609
14689	6920
32740	4797
43518	7210
33944	9928
23122	2020
24417	4739
9598	5034
33721	6365
16516	5093
27189	8724
7079	120
165	163
5538	4505
41183	4337
36884	5929
39767	524
21940	1155
41060	8422
15733	8346
18834	8655
35374	7656
11816	7324
1648	1542
24251	6994
1786	1666
5795	4662
22127	2999
38566	1584
35880	2876
41434	4146
2236	1573
11304	2269
8911	6253
42654	9223
11600	5778
32651	8767
31399	8667
3412	3061
17136	4985
21646	7955
12584	3246
39725	2249
13449	780
28136	9754
18609	4490
30309	867
5300	3867
13877	6720
31555	7728
23972	7358
11772	1899
1389	1293
7978	5785
10040	3928
16130	6940
24742	8742
6140	4327
5329	4347
18750	6016
3406	3055
6515	3671
38212	8219
2803	2543
42206	4126
1843	1717
13298	1946
34232	7543
5660	4263
36612	3800
17714	3081
6757	5224
22713	1348
38221	9773
19072	3794
9494	4138
12294	4368
42502	8349
26878	848
42101	8269
44097	1454
36001	4089
31444	9517
32931	7851
4860	4098
18530	796
11745	1720
14004	4087
22986	6173
18403	3711
6517	5110
24	24
28618	9135
39903	9101
41964	8361
33952	5436
28026	9354
24389	7299
37564	5816
15995	1267
12685	6094
18503	431
22284	1151
32583	9199
33950	323
9002	6288
41558	8164
3226	2905
39184	3068
38562	8043
41152	2783
26156	7594
5108	396
20894	4272
1751	1637
5789	2429
25949	1080
17841	2627
18676	4229
747	710
16099	8399
28170	6491
10808	5273
34307	197
16153	2467
7817	5720
43389	698
13511	5722
8549	6073
23676	6843
31959	6847
2503	2298
20681	1156
29708	6220
38278	385
685	652
39711	9926
40013	1164
28750	8682
11699	2341
4282	3699
23596	8465
42633	6981
22749	9379
39038	9395
12557	7543
550	520
12534	7537
23524	7348
20513	5824
9312	5201
30427	8039
12039	5525
15367	1294
3869	3420
12426	7505
19581	7005
17194	4568
26030	4016
531	505
29080	9176
24516	147
37571	799
11615	1374
7220	934
3416	3053
13147	7698
42945	9050
40520	6366
10517	6855
18075	6916
27293	712
12632	6089
19488	2386
11980	7382
16927	544
3268	2941
24175	2194
38083	3945
26715	2414
25359	5674
7058	1359
18795	8550
37194	2806
15770	2362
28812	1609
9963	6684
8014	5807
23225	6656
31654	9135
16929	5146
25950	711
44022	3743
7619	5624
24473	5753
42088	146
27127	8509
6999	2126
29863	9841
40330	9658
40218	6616
2886	2084
2151	1997
20903	7792
15929	6081
40818	7965
25927	7859
8092	4081
3327	2990
38423	413
14120	1428
375	355
1406	1320
2057	1909
32154	402
26894	6857
21696	6264
35546	9307
18737	3472
24681	9535
30424	9862
27206	4117
19033	2932
28243	9763
24919	5674
5346	2869
19944	6996
716	683
16620	7582
10428	4183
12627	431
3418	3065
5511	4487
2653	2418
21227	7759
24807	392
22233	3274
36880	7476
25033	7794
13565	4004
23370	1452
35380	9681
33979	2829
43795	4661
20817	4445
44077	8865
5508	2778
44086	4955
3182	2866
38207	4696
21137	5006
12068	7416
42212	9073
37257	5744
41067	859
5627	4561
1640	1536
32548	9133
25697	392
7836	425
13246	7735
38369	6148
2351	2169
31256	6414
1686	1573
34634	7429
35049	7007
11752	2585
15674	5365
11423	1424
36150	7070
30857	8699
27675	2013
44062	4918
28124	9395
1561	1464
42297	9341
29693	7120
19126	4062
29780	4807
15173	8222
18598	3562
21730	5095
43605	2184
30732	8372
3122	2816
23151	1911
22349	1749
35435	914
38753	1495
41199	5167
33357	4321
39517	7494
36029	5732
192	190
33072	3538
17800	2054
23755	9319
42013	9551
27280	9186
12078	7239
15311	1524
5856	4703
21796	5021
1624	1521
33379	3321
38413	5469
21759	3684
22034	9299
24568	5154
4769	1004
37373	9222
44125	9486
10268	6802
15518	4772
17157	2027
35581	6040
6955	4336
12661	7567
43583	3780
23609	7734
21567	4212
17975	4948
21990	7627
13012	266
14519	6127
34722	8148
32257	6542
30571	4485
913	868
2020	1878
15856	8365
22444	1419
32235	4290
13358	189
11202	2625
22853	8060
2063	1915
21991	7627
32875	2466
8531	6057
41722	5066
29278	2203
20761	1626
42932	9471
40846	3471
7512	2164
32737	9698
17757	6
7586	4920
411	391
8888	1004
11185	7135
5725	672
37320	1719
6398	4932
24624	9204
10615	3721
9398	6459
14256	7048
36542	3442
1989	350
2925	2651
42731	8389
26476	7520
16643	8508
23529	5827
32005	8944
17758	6
20881	9176
23270	3831
38797	7727
19066	4209
10214	6779
17086	8588
28956	4490
43973	3641
26501	1413
23935	3544
7781	1167
43998	227
12517	808
3959	3475
3473	3112
20743	3640
37404	632
24893	1869
43646	684
36250	2934
22228	2586
422	402
42488	4358
39923	8838
14503	7107
37967	8776
5928	160
42860	9955
27831	6340
41506	7690
36586	3598
1788	608
11531	7243
23934	3544
13993	5937
29561	2425
9394	6457
22683	6104
25924	5142
40742	3661
31911	8613
598	567
23444	5769
38907	1998
16525	3007
1396	1311
31850	6357
14020	4753
37693	4238
3184	2868
20812	4253
32384	2513
26650	2262
22624	4994
23604	2588
7077	1359
13940	732
43676	2041
36117	2197
8416	5999
20523	4452
34795	7873
19153	8910
14304	6123
14394	2452
32202	7857
30167	6440
24413	9514
38854	3806
31211	7274
5678	4593
34122	4001
14159	7980
15716	8342
10427	6865
1381	543
28090	1659
24135	3001
28002	8660
8420	3310
18638	5627
17699	6874
33064	8640
25595	4348
8501	6029
520	497
3956	3475
36122	8353
8403	5993
14146	7070
23908	3778
6711	2830
33805	9929
32091	6212
10550	6919
6407	5046
33856	769
25617	4557
24507	8632
35453	1466
2074	1926
38098	7227
9523	6504
40788	7315
809	771
30472	3298
30457	1267
41967	8361
43256	455
16008	4711
24668	8054
5823	4682
36152	5164
30752	1332
14937	2486
12079	6413
26506	1413
5204	4299
13549	4874
29383	2513
35496	3867
32033	1638
26576	2873
25884	715
718	685
37538	6719
24616	4694
16270	3010
28553	4743
10748	4743
30142	2210
38152	7779
25673	9461
15101	1750
9103	6321
25000	6219
7314	156
14188	4701
3897	2388
22095	5850
8162	4885
38434	3689
19301	3028
35	35
22433	624
35610	4368
29486	4920
32755	613
15193	3931
25516	9603
40083	3598
38784	7717
1454	1365
14080	5150
22778	1140
2907	2636
5788	3871
34567	485
16373	4587
7561	5592
18859	8258
35003	7678
7202	4010
30649	2158
7778	212
16382	5025
38231	5204
30248	7018
30517	6437
33629	6988
19074	4782
30688	5732
10508	6902
35057	9665
938	892
43340	8584
41043	2992
17639	1499
760	723
34084	4557
25329	7647
29551	2857
15131	7814
27276	593
38013	7408
35489	3176
31982	2913
26359	3961
10394	2390
24165	1658
36575	8969
24846	3805
2656	2421
2026	1884
25802	7358
15616	8320
35395	4117
25029	2409
14522	6171
20446	9119
13267	6369
27323	2588
39662	1802
24348	660
4947	4153
197	190
33951	5323
41678	6285
41847	1999
34007	833
30190	9364
21403	2287
42705	8765
9009	6237
6595	5151
4362	3762
41526	7953
1036	985
42504	3584
12014	2730
38171	9293
25592	7434
41928	4941
31634	4187
25952	9208
28148	1356
7823	5722
38087	6321
35945	9527
2300	2128
7268	5466
4795	1399
23936	8819
35281	1515
25144	3789
7738	5676
36706	9782
25407	4027
5303	4357
5970	4770
42317	9770
15244	2029
24736	1237
37044	9762
3727	3302
15724	5367
37525	3103
13024	4968
33286	8113
39241	2763
27737	3194
13620	41
37646	5424
1330	1256
42513	4541
31851	1899
5017	4202
36913	1908
13992	4487
16223	1689
12314	1236
6147	4882
30943	2195
10322	6827
15738	4845
19711	6780
39270	6852
3092	2794
26285	4266
6798	5242
10916	1158
2596	1250
18416	831
18850	7826
33828	5709
29547	1176
29026	9802
6781	4162
37963	1805
2515	2310
37456	4458
12253	5381
36820	7724
35104	8742
16225	8427
11925	2260
3081	2786
20591	6285
13518	6690
24334	5066
37435	7243
32093	864
9630	4470
39709	4523
726	692
22133	3717
23807	5105
20221	258
21267	3050
36446	6570
10932	453
15557	2004
14708	4120
40338	1410
3689	3271
15029	8186
41988	421
22710	4621
1378	1290
17670	8495
20887	9177
24938	6126
2891	2621
43940	3842
22025	7584
12859	7159
23280	3437
27734	5942
36085	9239
2447	2247
31520	5241
22640	8341
23672	9462
37146	9968
23391	2560
40473	9754
34834	8642
23932	3910
38856	3082
32916	5107
30404	2502
34958	3465
41391	548
4965	4164
4754	4032
30052	6522
22065	9302
42038	992
32877	9076
28813	9473
6488	5095
20246	9092
42489	4682
39992	6232
7918	4573
13293	7755
40184	6264
8462	2786
19925	2823
18420	8206
27213	3832
12711	7313
19029	7561
41245	5487
34559	8140
22572	5546
41772	8152
41657	4005
6321	2532
34732	1220
28980	9796
7263	5463
3223	2902
31883	9395
26896	8977
36577	8380
26976	73
13746	6548
37777	79
18391	7164
28639	4120
25880	2088
17084	7971
38373	8181
27214	3832
17432	1655
10928	7053
5645	4573
40882	804
17619	8651
43954	9819
534	508
28564	4865
25501	4879
2269	2102
23652	3146
24219	1007
2297	2125
15712	5741
19619	2776
37916	8217
9555	6517
16721	7349
29496	5167
12263	2787
17617	8650
37295	1038
3537	3156
13829	2875
3544	3161
14433	7749
20369	463
28357	5262
18149	4187
27027	9686
31853	3315
8197	5889
5992	4783
35148	7731
26560	8700
26210	4447
40065	7099
16484	2489
20599	7113
11819	5697
16658	8510
