actor	character
3506	13592
1431	15661
6964	13481
6488	2096
3004	6787
1540	10209
1025	9302
1966	1864
1364	6489
5643	23747
1050	17553
1776	1691
9847	28123
8677	13584
8514	17160
6764	2078
1087	14560
4890	3869
5171	27459
2232	5748
8235	11694
4246	4266
3549	29019
2784	1696
4314	4339
5480	23709
1142	4855
9648	30538
4116	23964
7458	9533
3785	20872
5826	6473
3697	16724
6437	7467
4957	19055
5479	4646
9182	18452
7006	11878
4146	11131
5065	11844
1722	9455
7539	2157
403	11513
5533	23422
7408	9377
152	31396
831	28863
2710	2587
203	323
1158	6201
6383	18300
4543	30228
7025	26605
3890	3815
1508	2028
1739	1654
2816	20325
553	30498
944	23234
4339	22009
7059	2813
5316	31099
3530	21215
8203	11565
9402	1776
6019	57
902	303
3581	30749
2165	29304
8023	23201
9573	18682
8476	29917
2761	876
8108	5313
2240	14877
5362	417
8605	13123
2389	6312
728	29178
234	7227
4861	9565
5845	25103
4918	1239
8288	32
5769	14766
5065	26029
1996	9389
8585	14939
8503	30272
8419	26885
9511	12729
227	21949
3583	10831
5968	3133
2809	799
8903	3857
5192	5486
489	1682
2575	24207
3534	27521
8049	1051
2401	5
5169	11441
2385	8855
1980	1379
312	29612
8395	5236
4132	13852
553	18604
3606	28259
101	1049
5070	5326
5234	1353
930	887
135	132
2865	930
3469	18070
8385	23692
747	717
5163	1052
2137	21892
7764	10313
5532	21268
3956	678
1061	30317
6512	4681
4269	11408
2144	14895
9501	18074
6161	30373
9939	5594
7147	23179
9172	22732
2942	28591
489	28046
568	19544
87	15534
3123	4244
8394	15197
2143	17920
2563	386
5587	6095
3497	4353
3555	7480
4137	6522
3214	3065
5847	855
3682	19340
1002	18852
6320	24320
2941	2814
3162	12268
2046	5216
2798	20925
4318	30331
8189	26123
4856	11169
68	17205
546	8885
1035	28294
5633	10451
4866	22380
5826	15183
2842	7061
7239	9403
5019	13033
2249	15115
6624	7810
707	472
5163	10025
6588	28666
2735	20441
1899	168
439	14984
6934	16879
4100	28239
1582	912
333	14576
8891	14457
2031	4365
2905	282
9177	15798
941	2225
4502	2282
8403	3024
5015	1109
1004	23455
100	2817
1267	27089
5690	15528
6292	7206
1262	27500
3149	3703
973	8485
9130	23037
6605	7776
4025	3854
361	10153
8061	142
7724	28114
3698	23985
6670	9611
3729	3076
6262	27888
6996	18645
2655	6659
3345	3187
7914	20078
425	14155
6471	31394
4001	3946
8235	29228
2046	1126
5879	6558
9943	2548
1757	28774
7468	9551
2424	11365
4066	4158
6994	8448
1809	27941
7154	8789
7202	30035
7412	11212
7706	16155
5410	6941
8684	13614
2585	13712
7293	16839
9263	29478
4379	2792
3101	13174
3785	30692
6702	31191
5758	24012
2249	4107
7372	17387
3275	1134
5535	15745
7624	18911
5337	29740
8392	27568
8771	24602
2672	15637
4259	4294
7907	51
5314	16342
7391	30311
2273	28879
975	444
3146	13796
7997	9956
7975	30550
8979	14787
2049	24565
1758	5978
7868	69
2588	20323
8537	12815
6414	26441
9030	23407
7657	4080
6973	5380
5904	6598
9653	1868
635	1126
1043	26181
4550	51
5125	5389
1394	2121
1151	13170
9960	493
2282	2161
7576	27199
5677	20331
5069	2078
4330	31306
4824	3059
6008	24
7059	24092
6650	4524
4229	4236
6515	25268
3176	22023
3608	3483
5397	5805
4916	31406
4339	29400
1557	877
8560	12894
3852	917
9391	19052
4147	29954
2443	2329
4986	1163
8186	24482
4870	2034
3289	9697
7465	1386
4177	13346
4112	24484
5693	6257
2448	2333
3085	2926
5685	18368
6026	9508
5097	19168
4641	11949
3174	17064
9824	21761
7805	10447
4839	2767
5235	8182
6271	7159
3900	19439
5875	13
5875	908
4800	13375
1337	22450
7335	24436
2102	1988
7828	10502
9629	23054
1452	17400
6893	10270
4745	2278
8790	27524
2426	2310
2816	7343
2781	2653
3034	4589
8070	13947
4221	25130
9008	22072
6660	27146
1978	6371
6893	9873
5684	18838
6090	9822
7376	9301
5349	5732
6325	30945
1938	915
8278	11813
5077	17207
5908	6607
6188	24980
7759	10304
832	27373
4922	402
1521	493
205	198
3031	2887
1375	142
5594	23871
6331	26577
6798	8098
138	12928
395	21403
9130	16216
3352	25279
266	10063
6296	27494
6459	23138
6449	7488
2920	16996
7318	17746
646	19970
2410	2970
5509	30369
1927	2010
7675	10102
1345	7696
487	2659
5978	806
971	6966
8467	24916
4126	10597
9261	4516
1361	3857
5936	26006
3808	20367
2387	18416
453	723
3785	4374
7174	29347
2121	7501
2579	2462
7277	22886
1519	1436
8678	15064
1468	1384
6603	20352
8225	1611
