roledby	actor
15069	666
10067	1203
16422	112
13730	1848
11701	938
7332	1167
13859	580
797	668
9266	903
13369	1714
4190	1559
17105	619
9222	713
8816	862
3111	1593
16464	728
14439	1844
8514	718
3364	1210
6608	306
10305	702
2810	1514
565	495
8520	1191
13582	1177
9046	1289
2052	1132
5024	1126
6336	565
4914	582
9382	914
13501	825
4440	499
4202	1770
3586	1455
13468	1038
3823	1421
9239	571
16747	662
16081	14
7086	1043
15928	1722
11211	474
7055	937
16354	1036
11569	1540
1051	264
11888	1660
1657	1142
16978	1533
2554	813
7727	496
7739	888
1471	1054
9408	1308
11449	1616
319	1
9647	713
1215	346
5949	924
9348	135
4255	794
9898	277
15256	1336
12102	666
3559	839
9630	1060
7070	1908
13702	1953
4187	1217
11987	1846
5427	1005
13165	1124
14430	914
10244	630
7596	743
11588	345
13147	1902
9825	1386
15073	1823
2610	341
10999	1844
1884	1238
518	458
7909	1053
13910	1372
6353	1233
15081	46
15328	1579
10468	1211
14169	1951
3475	1008
720	610
12909	1952
7113	1250
4543	1700
399	367
10928	1152
14213	992
16374	1220
8775	1949
8158	410
6667	1939
3804	535
14476	1268
7958	1110
12179	101
959	74
6222	969
9201	1892
9310	270
8089	561
3422	1254
9660	1281
5239	1645
11038	1544
12093	1047
13614	1066
13196	628
5612	1131
1728	69
6109	264
14449	1657
10812	366
13098	1811
15645	1639
15737	1893
6536	1011
11280	1258
6313	1054
13893	747
3445	1510
10603	307
8012	1141
12260	1916
15510	1267
15332	537
1850	1231
5843	1006
9866	1425
4101	1668
9464	795
1028	825
14133	1964
10327	1241
2088	876
1284	873
9440	827
8551	1682
7351	1403
5684	1452
1289	232
16182	522
13825	1707
11041	28
5981	1342
5708	69
11353	1045
15663	718
5324	1704
3447	1215
12111	1826
1065	223
10926	143
3477	1659
11593	753
1302	649
8358	307
14005	614
8840	451
12935	1256
15991	1413
6743	1091
2638	495
16704	1295
5833	1825
5017	1611
3901	636
8108	1348
1410	1020
7962	206
10002	214
2411	1353
2889	874
5152	994
8977	1491
16513	1298
10540	1492
12294	1145
10118	648
5497	110
16316	212
16919	1854
2841	725
17072	1012
17276	851
17225	1746
5692	1803
9404	1497
3315	742
6579	987
8847	1051
862	705
10966	1988
9236	1490
10518	1939
15070	1853
12534	235
635	551
1497	1065
11638	890
14630	663
9029	1110
5773	1737
1779	1190
15867	931
11479	1456
14102	542
15302	1042
4098	1762
316	288
7973	1355
11924	836
12332	1439
5321	1390
2676	1486
16201	373
15780	268
6407	871
4054	999
4797	1821
9759	1228
15195	1909
9379	555
16382	377
6159	693
1772	676
7138	1460
11029	1863
13573	794
536	234
12271	646
6271	1647
7946	1859
2522	11
8590	1067
12380	149
12	12
3008	1465
7139	1460
6043	734
5461	1329
15116	1349
11359	1045
5302	663
4196	1017
6296	351
9105	1149
16661	1418
3258	1587
9217	717
4257	1013
