charedby	movie
5171	887
6159	1054
9371	1570
5052	868
15598	2607
8117	1394
9476	1588
1028	164
416	67
16827	2818
8003	1365
4944	840
1279	215
8298	1426
13689	2294
5170	887
10778	1819
4942	840
1029	164
415	67
8116	1394
15597	2607
5053	868
9477	1588
5054	868
8040	1377
16828	2818
4943	840
8004	1365
13688	2294
5173	887
4941	840
14109	2370
13329	2223
7736	1322
5530	945
9478	1588
12555	2094
15596	2607
6917	1182
8119	1394
10218	1731
6157	1054
7841	1331
5055	868
5787	991
8001	1365
4940	840
14108	2370
13328	2223
7735	1322
5172	887
12554	2094
15595	2607
6916	1182
8118	1394
7117	1222
9479	1588
6158	1054
16826	2818
7241	1241
8002	1365
13327	2223
16456	2754
2011	317
12557	2094
8113	1394
1045	167
5175	887
8294	1426
8353	1434
7533	1291
9490	1589
11508	1928
5738	982
6155	1054
12556	2094
5531	945
1044	167
2012	317
5174	887
8295	1426
8352	1434
7534	1291
9491	1589
11509	1928
1130	187
5739	982
6156	1054
2013	317
8115	1394
5050	868
3081	513
7530	1291
11506	1928
16779	2811
13687	2294
8351	1434
8296	1426
8041	1377
16829	2818
6883	1171
6153	1054
5051	868
9370	1570
12558	2094
7531	1291
15599	2607
1046	167
3080	513
8114	1394
11507	1928
7532	1291
8297	1426
16778	2811
4000	673
9475	1587
13686	2294
4110	703
6884	1171
5737	982
6154	1054
10163	1721
8746	1486
9474	1587
7537	1291
13535	2260
13490	2250
3503	590
3473	586
12067	2011
14235	2388
11361	1901
11478	1921
11505	1928
8745	1486
9473	1587
13536	2260
7538	1291
8356	1434
5189	890
3502	590
10485	1780
12165	2029
3472	586
2650	439
11479	1921
12066	2011
11362	1901
14236	2388
2616	434
8770	1490
9472	1587
8725	1482
7535	1291
8355	1434
3501	590
16691	2793
14233	2388
3471	586
2617	434
16900	2824
2608	431
8939	1514
13534	2260
4557	777
3500	590
7536	1291
8354	1434
12068	2011
14234	2388
3470	586
2010	317
11360	1901
16690	2793
3478	586
10489	1780
14887	2518
16215	2715
8742	1486
15594	2607
6919	1182
1048	168
11365	1901
15018	2537
1599	261
15238	2565
3477	586
16120	2702
4947	840
16214	2715
8741	1486
1049	168
6918	1182
14232	2388
15237	2565
15017	2537
1598	261
4389	752
10487	1780
3476	586
7539	1291
4946	840
2419	400
16217	2715
8744	1486
11363	1901
1597	261
10319	1752
15236	2565
3475	586
10486	1780
10488	1780
4388	752
4945	840
2418	400
16216	2715
417	67
8743	1486
1596	261
11364	1901
3474	586
15019	2537
15235	2565
10318	1752
3269	553
9744	1635
15694	2621
11218	1887
15671	2619
3078	513
411	66
5193	890
6612	1117
11470	1921
1096	177
4108	703
7047	1212
12586	2100
16210	2715
3268	553
9743	1635
10317	1752
1382	229
15695	2621
410	66
11217	1887
440	73
3079	513
1095	177
5194	890
6611	1117
4109	703
7048	1212
16211	2715
15419	2588
3267	553
1381	229
9742	1635
11216	1887
1047	168
413	66
441	73
15696	2621
11472	1921
16212	2715
1094	177
5598	963
5195	890
7049	1212
15418	2588
3266	553
2618	435
9741	1635
15670	2619
15697	2621
412	66
11215	1887
16213	2715
442	73
5196	890
11471	1921
8740	1486
5061	870
1093	177
5599	963
1380	229
16121	2702
4112	705
9699	1627
11475	1921
15698	2621
2609	431
11214	1887
11911	1986
9740	1635
3265	553
6870	1167
9698	1627
9844	1657
14110	2370
1092	177
3667	615
4736	803
7566	1293
5197	890
443	73
8731	1484
11474	1921
15699	2621
414	66
9697	1627
14111	2370
11239	1890
11473	1921
12589	2100
3668	615
8730	1484
444	73
7564	1293
11477	1921
12163	2029
11683	1954
2247	363
9696	1627
445	73
3669	615
12588	2100
11476	1921
1280	215
12164	2029
2246	363
11682	1954
12587	2100
8732	1484
7565	1293
9480	1588
6882	1171
1032	164
13645	2284
16832	2818
14114	2370
11686	1956
4318	737
4327	739
6529	1108
9495	1589
3070	513
7562	1293
1031	164
5049	868
13644	2284
16831	2818
13930	2334
4326	739
3071	513
14115	2370
9494	1589
7563	1293
10398	1762
6881	1171
9482	1588
13647	2284
7652	1310
1030	164
8827	1501
5168	887
8292	1425
3853	646
16830	2818
14112	2370
5525	945
9493	1589
4329	739
1957	307
6880	1171
10922	1838
3072	513
13646	2284
9481	1588
8826	1501
8293	1425
7653	1310
3852	646
2003	315
11685	1956
14113	2370
5169	887
9492	1589
1956	307
7654	1310
5526	945
4328	739
9890	1666
10921	1838
15020	2537
1043	167
3073	513
13225	2203
4104	703
3851	646
6160	1054
8829	1501
10630	1803
16836	2818
7650	1310
5046	868
3074	513
10920	1838
2008	317
7737	1322
5527	945
14118	2370
8599	1465
6525	1108
13224	2203
4105	703
8450	1447
7651	1310
8218	1413
16835	2818
3850	646
8828	1501
5597	963
13648	2284
5045	868
3713	626
3075	513
5190	890
14119	2370
5528	945
1958	307
2007	317
7738	1322
6526	1108
9747	1635
8451	1447
16834	2818
10632	1803
13223	2203
4106	703
5048	868
5191	890
3076	513
8864	1507
6527	1108
9746	1635
7739	1322
14116	2370
2254	366
5529	945
9497	1589
16833	2818
4317	737
13222	2203
10631	1803
4107	703
5192	890
5047	868
8005	1365
3077	513
9745	1635
14117	2370
6528	1108
9496	1589
2009	317
8766	1490
8943	1514
1703	274
5744	982
8658	1473
3468	586
15632	2612
10635	1803
2417	399
8767	1490
9800	1647
8942	1514
11172	1877
1702	274
2006	317
15194	2557
8657	1473
5745	982
3467	586
15633	2612
5968	1025
556	89
8000	1364
2611	431
8217	1413
5044	868
1099	180
11171	1877
15249	2566
3363	573
6927	1182
8941	1514
9488	1588
8768	1490
7540	1291
1701	274
15635	2612
11663	1949
15634	2612
13220	2203
10633	1803
15195	2557
555	89
7001	1200
2610	431
15248	2566
642	98
8940	1514
11170	1877
6926	1182
7541	1291
7658	1312
1700	274
8769	1490
15636	2612
10634	1803
8659	1473
13221	2203
3469	586
15196	2557
554	89
7000	1200
11594	1938
16093	2698
10783	1819
7542	1291
15024	2537
9486	1588
16486	2759
6925	1182
15247	2566
3085	514
1033	164
15197	2557
9485	1588
8654	1473
9803	1647
553	89
2805	468
7543	1291
16730	2799
1706	274
16094	2698
11593	1938
3364	573
6999	1200
6924	1182
12879	2144
9487	1588
15023	2537
551	89
3086	514
15246	2566
8946	1514
8947	1514
2806	468
552	89
15198	2557
7002	1200
8653	1473
9804	1647
8739	1486
7544	1291
15900	2656
4778	809
6923	1182
15245	2566
1705	274
12878	2144
8945	1514
3603	606
11592	1938
8764	1490
16484	2759
15022	2537
9801	1647
15199	2557
9483	1588
16732	2799
15901	2656
8656	1473
15630	2612
2457	408
7545	1291
8738	1486
6922	1182
15244	2566
1704	274
2846	474
8944	1514
11591	1938
3084	514
12877	2144
16485	2759
15021	2537
8765	1490
2458	408
9484	1588
9802	1647
5719	978
15631	2612
16731	2799
13249	2208
7546	1291
8655	1473
8737	1486
14687	2478
4938	840
8736	1486
6070	1042
1340	222
7547	1291
2459	408
11514	1928
16799	2814
12876	2144
1589	261
15243	2566
16482	2759
6320	1079
11598	1938
14688	2478
4937	840
7548	1291
4119	705
11515	1928
8735	1486
16798	2814
16483	2759
10780	1819
15242	2566
1588	261
11597	1938
6321	1079
4118	705
1342	222
7549	1291
12280	2050
14685	2478
13170	2192
8652	1473
11516	1928
8974	1520
6244	1065
10781	1819
3087	514
15668	2619
15241	2566
6998	1200
15463	2593
6322	1079
4779	809
7752	1324
3461	586
11596	1938
4117	705
1341	222
12281	2050
14686	2478
4939	840
11517	1928
8729	1483
10782	1819
6245	1065
11350	1901
3460	586
6323	1079
15667	2619
8728	1483
15240	2566
6997	1200
7753	1324
15464	2593
11595	1938
13172	2192
11510	1928
8976	1520
16783	2811
6879	1171
4116	705
4934	840
3463	586
1344	222
7754	1324
11219	1887
11351	1901
5631	964
7609	1299
11511	1928
8975	1520
16782	2811
13171	2192
6610	1117
4115	705
4933	840
1343	222
3462	586
15669	2619
5630	964
11352	1901
16781	2811
13174	2192
11512	1928
3466	586
8422	1442
4114	705
4936	840
2336	383
1346	222
12570	2098
11353	1901
16231	2718
16780	2811
7253	1244
11513	1928
13173	2192
4935	840
3863	649
3465	586
4113	705
11599	1938
1345	222
3464	586
11354	1901
9961	1680
5898	1011
9028	1526
6317	1079
1592	261
15164	2550
15231	2565
11356	1901
1347	222
14075	2367
13774	2311
13773	2311
12596	2100
15946	2662
15230	2565
14264	2396
7606	1299
10919	1838
5897	1011
1058	168
11355	1901
1593	261
15163	2550
1348	222
12022	2001
15232	2565
3368	574
14074	2367
15945	2662
12595	2100
14263	2396
13149	2188
10918	1838
16230	2718
7605	1299
1057	168
1594	261
15166	2550
7608	1299
6319	1079
14073	2367
11358	1901
15233	2565
15944	2662
16112	2702
7372	1262
12277	2050
15165	2550
1056	168
14072	2367
1595	261
6318	1079
5899	1011
11357	1901
15234	2565
7371	1262
15943	2662
12276	2050
7607	1299
14265	2396
8726	1483
3365	574
16115	2702
15942	2662
10914	1838
1055	168
10915	1838
13219	2203
2643	436
6606	1117
14120	2370
3929	661
16114	2702
10322	1752
14260	2396
8727	1483
11611	1940
11359	1901
7900	1344
1054	168
14918	2525
10913	1838
16795	2814
13218	2203
1053	168
2642	436
6605	1117
15871	2652
16113	2702
13776	2311
3367	574
16117	2702
4920	832
15162	2550
1590	261
8190	1409
12250	2040
10917	1838
16796	2814
1052	168
14262	2396
13169	2192
6604	1117
