roledby	character
29953	7134
19996	15438
19299	14927
649	616
20116	8414
16043	12575
23855	18161
111	110
27511	20662
6401	5323
12296	9820
29041	17947
25819	19481
14591	11535
28600	21420
8997	1782
23531	17931
19448	15037
7392	6062
10625	675
25250	19088
8317	6782
14577	11522
23883	525
9851	7962
2590	2300
25840	19498
3796	1197
6402	5323
6618	5479
9955	79
22099	16898
9634	7802
26881	20212
4918	4170
2234	1992
25888	19534
23741	18072
4150	3588
15771	10865
13691	10899
25833	19492
4837	4102
28696	2208
26759	740
5473	4627
4778	4050
15042	11864
26787	20140
1401	1289
15614	12265
9848	7960
7901	6451
20143	1081
20580	15862
1539	1417
23341	17782
17171	13388
191	187
22267	1742
13673	506
2181	1946
1934	1470
2483	846
13729	10924
21856	6899
19371	7089
23516	17920
10574	8540
4181	2100
13429	10699
9573	7755
469	446
8165	6657
23976	18246
1811	1646
6769	5598
21749	9144
22482	1197
9109	7415
21713	3377
28650	1205
11281	9068
23340	17781
29539	22080
11326	9101
12574	10034
1993	1789
553	524
27498	20650
16809	11638
29684	22189
23141	17634
24008	18268
29926	13069
23910	530
1273	1189
19126	14796
27077	20348
9923	1390
14499	11475
9644	7810
7110	5857
24556	18632
16439	12874
1865	1692
16949	13238
22480	1197
27677	3737
11846	9515
11685	9377
10851	8740
9762	7899
20076	4047
24338	6979
4437	3797
13331	2386
41	40
1536	1414
17269	13457
22112	16906
6540	5418
22380	17096
3623	3180
12124	9720
6400	5323
25846	19498
15459	12153
18423	14310
4880	4141
20004	15445
9928	2605
27789	20869
24345	15273
27189	20425
3927	3414
8742	7137
15307	12039
2679	2374
131	129
23616	17992
10238	8263
8313	6781
16615	13014
11980	9618
16224	12709
13193	10513
13439	10708
16395	12837
5422	4581
2974	2619
5315	4487
12513	3764
23843	18151
26722	20088
6365	2959
5232	4411
25395	19189
3283	2884
29783	22259
18786	14553
24987	18914
15618	12269
1008	955
12007	9641
6031	2909
18175	14134
932	881
12588	10045
29362	21945
14434	11432
22671	17308
24210	18409
17245	13443
19345	14959
19650	15203
9415	4300
28362	21266
12352	1042
24286	18466
7469	908
22745	1240
20126	15530
18835	11399
7336	6013
21047	16199
8847	7215
17426	13581
17340	13509
10318	8332
23153	703
4430	3792
13166	10488
20880	16070
20689	15943
26997	20287
18699	14493
497	472
23729	18061
21449	1016
22735	17353
18921	14657
3592	3154
18846	14596
15719	12350
7111	5858
16497	12920
483	460
9176	7467
21557	16532
13567	9572
29158	21791
17533	6390
25630	19342
9860	7969
12243	1674
9499	7695
12464	9942
3869	3365
17977	13996
21068	18
29011	21680
15209	11965
17290	7323
18520	14377
1351	1250
9352	7592
11137	675
9776	7908
3817	3325
10697	1377
16430	12865
9896	8003
12738	10161
21762	16667
2626	2332
3899	3388
2043	1829
117	115
21761	16666
26711	20077
10415	8404
2429	2164
22045	16870
25295	526
2445	2176
4279	3681
23404	17829
12091	9703
20847	16047
15491	12178
29543	2851
16092	12610
14099	1064
5761	4870
12364	9867
8772	7156
3139	2755
13227	10537
17175	13392
15954	12516
21331	16383
4192	3616
2091	1863
6169	3557
12321	9841
13912	1652
27833	20909
1900	1722
4829	4095
21151	9532
13082	10431
10614	247
8765	7150
23406	17831
19323	2608
17444	13596
3652	3200
24708	18730
5347	4510
29453	15298
2018	1811
20417	333
8700	7103
10258	8283
15589	12244
13408	10681
14730	11636
23142	703
25290	3206
18431	14317
8588	7009
902	851
22092	1593
25274	79
13987	11124
28607	21425
26990	20281
3023	2654
28169	21136
7107	5854
27938	20984
7172	5763
767	728
19285	14915
26082	147
18132	14107
4681	3981
20162	15542
12847	10251
8425	35
2132	1902
10264	7398
25872	19520
27673	20783
3982	3459
18488	14358
10016	8088
10354	8358
18791	5061
28270	21206
5833	4927
14401	11411
3136	2752
4186	3610
22840	17431
12238	329
7679	6297
13107	10451
9012	3944
27213	9093
25867	19515
29193	7714
17976	13995
16051	12582
2607	2293
1027	973
21899	16762
19892	15369
27843	20916
24722	5980
11520	9255
19973	11708
4578	3899
1175	1101
17786	2367
130	128
28257	21196
23046	13577
9399	604
3150	2765
15473	525
19264	2582
8653	7064
22434	17140
7371	6044
9225	3164
7532	6176
27058	20333
5628	4756
22803	17406
24064	16604
6610	5475
29306	21897
2748	2439
4193	3617
15868	12454
20155	13625
5767	279
14445	11442
13986	11123
16974	13257
21943	903
8125	6623
8513	6948
20918	16101
10828	8722
18373	12024
19919	15386
10483	8465
2182	1947
23326	17773
17493	5515
23965	672
3724	3263
23237	17710
23306	17763
11274	9061
27181	4272
22365	17086
4005	3475
23288	1676
16122	12633
26979	20275
6113	5124
20306	15659
21341	16389
9198	7484
8733	7132
12218	795
23543	672
26398	19892
1764	1607
8901	7261
22097	1593
28904	21613
2169	1934
27632	20752
16399	9228
8487	6923
15356	205
13192	10512
