movie	actor
1443	1544
3420	4516
2275	4963
2674	3355
668	2024
131	1000
3586	622
838	1460
1598	2877
2289	2432
331	2225
3165	3892
658	3054
1134	337
1217	70
329	1151
2393	580
911	3964
646	283
3024	77
971	4066
964	3613
3276	506
1915	2635
911	1057
3330	3825
2616	4149
1869	2556
1356	3228
1356	3245
909	999
240	1710
522	1332
2486	2507
1923	4679
1270	1346
253	1787
1823	2911
522	1778
250	1752
2716	4394
2220	455
1637	2509
2055	2529
982	1296
1662	1100
733	3491
1238	3246
84	748
461	2685
3315	2388
3080	1166
1466	2162
3424	1923
2700	2811
1578	1201
1010	2513
821	1124
215	1616
1284	4505
209	1608
30	213
3553	447
2917	2766
2280	1485
1028	2921
2565	1881
2103	2703
328	2213
288	1982
1852	3755
1044	2744
3461	2585
30	206
2499	3107
3399	699
3297	2341
2848	4776
2459	2509
2991	3594
808	690
1677	2124
901	1139
3088	2743
3282	1880
2447	2768
658	3419
2010	4856
2184	1643
1971	1505
773	1480
2890	714
973	4077
2987	4941
3549	891
3236	1470
89	62
1913	3523
2323	2345
280	1952
2088	483
2504	78
1166	3575
821	3151
33	317
3472	165
743	2304
1508	4211
2739	4819
2580	26
3430	3330
973	3224
964	3589
2074	3613
2283	3539
1659	935
1109	3151
1221	2808
2792	776
628	2843
922	346
3590	447
2779	2646
980	629
971	1205
2653	4966
1863	4009
3149	4969
1745	1012
1060	4254
2231	2901
454	2412
2149	742
2728	2491
1076	1768
92	821
1356	3274
345	2297
654	618
2261	3341
24	111
1143	3623
2268	99
3372	985
654	3405
1215	2212
1633	4357
915	3321
1722	374
619	3279
2208	2742
1814	2352
22	89
128	1103
2610	2092
34	321
3204	4601
296	2054
2639	2198
2560	288
1622	3673
70	661
273	1918
30	222
1410	2133
2136	4177
1570	4102
720	3556
1835	3130
3402	740
1375	2217
3181	3579
2447	1199
2395	4917
1371	4380
3330	2048
1879	3773
624	3316
2383	1246
1003	2653
733	3578
2373	4612
2070	3943
1057	525
680	1471
1459	2833
1003	4139
1482	1826
1347	1245
2213	1441
1125	3329
3229	1026
186	1487
1919	1294
2507	3927
480	1087
2134	4479
728	2344
743	14
3295	1040
779	1009
3125	440
2507	2107
3272	4999
1107	3114
927	694
1781	1337
3240	1706
2530	962
2217	895
2674	3093
3192	2441
3399	3081
778	2512
2716	1813
1280	4501
2780	2219
1137	3738
2021	3163
824	521
775	3704
3482	4500
990	1664
113	945
1950	1914
3354	4567
3436	3470
1381	2213
607	1022
2211	1289
128	1098
3138	1393
297	2062
1924	4786
3129	136
3361	3645
1400	3906
529	2621
3064	4942
223	1664
1203	2476
1668	3872
2498	1467
824	2088
3002	3750
2992	2305
2015	91
2998	2509
2962	3891
1688	4233
2396	1619
1741	4118
3365	1212
1849	4880
3549	2614
1946	259
2508	1409
3265	617
861	2182
2878	282
2360	2265
1814	3448
289	1988
3283	751
3196	3938
2508	4159
1757	1804
2069	3607
24	124
861	3895
1840	1491
2098	500
1428	2284
3430	4117
2911	1938
577	2107
2376	2189
3245	1437
2513	1059
1571	1995
2459	101
2660	3179
1731	682
929	3975
741	3609
1803	3182
2050	4265
3040	1451
1371	4038
1668	2571
1287	1308
1248	4470
3032	3735
3556	1430
3436	4787
2807	4156
3172	1669
3417	1091
3441	4331
257	1084
17	57
954	3065
409	2596
413	2655
1676	4729
2727	3172
3417	610
3271	1236
2413	967
787	2869
59	587
1622	798
307	2116
1103	4298
104	437
1685	4534
529	1348
3411	1130
3277	4800
1210	2157
2112	2728
802	3777
741	521
1289	1022
2033	1884
2341	693
1204	1447
635	2587
311	2134
2001	965
3352	2848
3258	1784
2681	2062
220	1649
416	2693
3278	674
1238	3235
3176	398
559	1075
2207	2213
2288	736
707	545
1144	2285
2848	2721
1167	2196
3590	3504
1815	1442
2519	4307
3189	2264
2391	1817
2148	59
3160	1738
2739	4236
56	543
2783	2860
1103	1717
366	2419
1872	2575
769	1890
3016	3367
2133	501
2973	983
1675	2982
28	170
3125	1169
1238	3274
564	3087
655	3411
3260	3576
2351	3679
2512	4984
728	3112
1505	2131
1972	3542
802	2743
1869	4492
1409	2425
1264	4450
216	1631
1162	1179
667	3449
1685	972
689	2435
3575	1250
1330	1993
3454	1237
532	2978
1775	3685
2026	1019
948	4032
