directedby	movie
3822	3467
348	323
3738	3392
922	848
1585	1450
3567	3239
1219	1125
3929	3565
3884	3524
375	349
2136	1955
2681	2433
3069	2791
980	903
1586	1450
3611	3280
2052	1879
3531	3205
2297	2103
3180	2893
88	84
748	691
1692	1547
1927	1761
3082	2803
3153	2869
103	99
3481	3169
3433	3126
982	905
2301	2107
3610	3279
558	518
3824	3467
2279	2087
2146	1965
147	141
1907	1744
3347	3046
1530	1398
421	389
3482	3169
454	422
631	587
1725	1579
2872	2614
1681	1536
193	184
3772	3424
1652	1509
2439	2231
1008	930
1397	1284
672	623
3823	3467
3166	2881
2110	1931
1249	1151
47	44
1883	1720
2680	2432
3733	3387
304	287
1587	1450
3483	3169
857	789
2338	2139
384	356
1441	1323
996	918
55	52
1722	1576
3013	2736
194	184
378	352
2569	2344
3461	3151
1032	951
3695	3353
3538	3212
3484	3169
3757	3410
1079	996
3527	3201
3047	2769
2278	2087
554	514
3384	3080
2959	2688
3521	3195
1279	1178
1782	1628
3431	3124
2465	2255
1690	1545
3720	3375
755	698
2888	2629
3700	3358
3093	2814
2300	2106
280	264
3552	3225
3383	3080
3381	3078
682	633
1356	1243
2676	2428
3777	3429
955	880
3546	3219
977	901
3031	2754
251	237
501	464
3157	2873
3541	3215
253	239
940	865
597	556
3074	2796
2060	1887
28	27
1617	1477
1519	1388
2035	1864
2828	2572
3745	3398
1641	1498
1737	1590
2689	2441
3054	2776
1054	972
3703	3361
2230	2044
3917	3553
154	147
1331	1219
293	276
1702	1557
3913	3550
3944	3579
3914	3550
1175	1083
2429	2222
1640	1498
2878	2620
3715	3371
3492	3177
1986	1816
3468	3157
1736	1590
1803	1647
2807	2552
2633	2388
1848	1688
1537	1405
158	150
1820	1664
2294	2100
3789	3440
3512	3187
662	614
3945	3579
716	664
1775	1621
75	71
3467	3157
1089	1005
1985	1816
2056	1883
964	889
1783	1629
3758	3411
1946	1779
1265	1167
967	892
873	803
656	608
1980	1811
3825	3468
3513	3187
583	542
1892	1729
1672	1527
1705	1560
2748	2496
1266	1167
332	309
2217	2032
912	838
2942	2672
3708	3365
559	519
2182	1999
3709	3365
380	354
287	271
2987	2711
3030	2753
1765	1614
983	906
429	397
694	644
3942	3577
2494	2280
3440	3133
185	177
3559	3232
3790	3441
1653	1509
3171	2886
230	216
1267	1167
142	136
1031	950
396	367
2916	2655
911	838
1804	1648
3175	2889
208	196
689	639
3152	2868
186	177
3281	2985
2476	2266
532	493
217	204
3419	3112
728	675
2370	2169
254	240
3952	3586
2069	1896
3174	2889
3421	3114
2082	1906
436	404
1687	1541
300	283
2218	2033
2755	2503
780	722
1518	1388
257	243
1548	1415
3781	3433
386	358
2923	2657
2620	2375
1093	1008
152	145
2455	2245
1435	1317
1926	1760
504	467
3599	3269
473	439
2668	2420
2453	2243
1209	1115
1144	1054
453	421
3668	3327
1554	1421
1925	1759
423	391
115	110
2185	2002
1852	1692
3645	3305
102	98
2573	2348
2734	2482
649	602
1994	1824
53	50
930	856
2452	2243
1163	1071
3125	2845
2491	2277
3553	3226
235	221
3052	2774
2695	2446
2391	2185
2045	1874
2793	2539
3344	3043
1829	1672
2085	1909
3655	3315
1853	1692
3544	3217
502	465
2731	2480
997	919
486	450
1104	1019
3710	3366
2661	2415
3853	3495
775	717
167	159
3899	3539
717	665
1558	1425
2155	1974
1381	1268
1160	1068
2038	1867
2046	1874
493	456
3575	3247
641	597
1105	1019
3866	3506
107	103
2705	2456
2877	2619
2915	2655
308	291
3019	2742
1763	1612
3950	3584
978	902
2751	2499
2763	2510
2895	2636
331	308
3689	3348
1816	1659
979	902
2275	2084
1392	1279
2006	1835
722	669
1235	1139
2623	2378
320	297
1385	1272
2774	2521
338	315
2137	1956
1210	1116
947	872
2171	1988
2686	2438
3624	3287
1945	1778
2029	1858
718	666
2472	2262
2909	2649
3953	3587
1863	1701
2371	2170
1218	1124
1199	1106
59	56
143	137
2752	2500
2762	2510
2454	2244
3751	3404
885	815
931	857
3477	3165
1632	1491
3644	3305
448	416
2842	2586
2806	2551
648	601
827	763
1018	939
894	823
209	197
1575	1440
433	401
1006	928
544	504
2533	2315
3520	3194
762	704
1581	1446
1283	1182
99	95
3595	3265
475	441
2009	1838
1992	1822
879	809
3728	3383
3386	3082
3226	2934
2040	1869
1494	1371
2715	2465
3716	3372
3854	3496
1807	1651
3651	3311
1227	1132
2445	2236
2315	2120
3184	2897
883	813
2138	1957
3636	3298
199	189
3881	3521
1170	1078
2437	2229
2644	2399
3737	3391
2467	2257
85	81
2804	2549
1444	1326
296	279
2860	2602
3463	3153
2316	2120
1631	1490
3676	3335
523	485
2330	2131
3875	3515
3186	2898
3185	2897
3653	3313
2028	1857
2858	2600
1526	1395
1974	1805
360	334
3478	3166
1810	1653
1487	1364
1217	1123
872	802
1569	1436
2630	2385
984	907
2897	2637
3055	2777
1012	934
1891	1728
1473	1352
790	732
3243	2948
1486	1364
2771	2518
201	191
2896	2637
3396	3091
1624	1484
806	746
782	724
3029	2752
3604	3274
2953	2683
3768	3420
3274	2978
698	648
494	457
2687	2439
2694	2446
3898	3538
