movie	character
2957	3377
2501	16370
1976	13309
2779	7130
3266	20655
334	2648
2041	13685
271	2145
2221	14617
2291	15136
739	5192
3214	20335
2411	6433
2147	1406
3176	20019
3431	21645
3166	1081
2453	3603
1721	11521
2400	15821
1466	5799
1132	2145
2276	14983
2504	16393
1953	13126
1257	8562
1929	12950
3364	21319
145	1324
1433	1674
1906	11249
1919	12870
1679	11337
1668	11211
303	2405
1121	7677
1950	13108
2043	13695
2331	15384
2050	13754
2102	14036
901	6139
1783	8868
2865	16439
2315	15269
259	2021
331	1169
397	3141
1673	11245
1966	3768
1218	8247
317	2509
3194	20177
1914	12807
3526	4405
140	1282
147	1342
2562	16781
36	384
2829	18362
2699	17575
301	2385
1177	8050
127	1131
3553	22378
1788	11895
2448	16095
1214	8184
3372	21371
2381	705
1954	11531
1510	10168
3520	22214
1997	13449
1109	7630
2501	3825
2732	17765
2304	15230
349	2793
3130	19864
1617	10886
1121	7672
1677	11304
291	2282
3557	22412
3153	18879
2143	2216
922	1729
1594	1564
2422	15890
1781	787
3259	20607
466	3534
2711	17605
1124	7699
70	666
3500	22091
2733	2376
1215	8198
2395	1729
535	3921
644	4686
2592	16947
2136	14167
710	5066
40	451
512	3761
1540	10347
3312	21026
1711	3377
2951	18908
928	574
2834	12318
1221	8271
2844	1258
586	4208
490	3641
1585	10678
2476	8885
2503	16387
2443	15
2063	7370
1906	12735
1597	1711
1380	9469
749	5265
1872	12491
1333	9015
91	560
3301	20954
2621	17146
411	3246
1446	3825
3496	22063
1218	7088
1537	10322
1064	7372
1991	3146
1238	8453
2092	13996
2497	16346
2687	8873
1040	7239
1926	12916
2974	19009
2010	13509
3328	5774
3223	20365
3063	19489
3576	22524
1783	11841
2194	1469
2758	1856
1304	8801
2769	764
40	453
2783	18076
769	3126
1778	11797
1858	12383
1056	7340
948	6453
597	4283
106	947
118	1052
543	2257
111	973
963	6538
1243	8489
249	1926
3465	21863
976	6695
728	5129
1633	1033
1806	11965
2422	15900
738	403
842	2376
1815	12065
513	3762
1356	4675
3182	5919
367	2920
348	2780
1356	9200
1778	1889
1905	12709
2689	17535
2716	17633
2318	15296
3586	22551
115	1018
178	1571
35	361
1318	8900
1227	1566
2521	16558
2727	17714
2917	18762
1255	8554
996	6880
3138	19899
2373	15561
2245	14787
171	1501
269	294
1812	12018
637	4668
633	4643
2440	16007
1011	7046
755	2208
2211	14537
2371	15551
1861	9781
3580	22537
1622	10915
3204	11635
3428	21605
591	87
1130	3827
1929	12956
421	2597
2922	6388
2459	16162
1103	4085
1571	10580
1907	12749
1814	12041
366	2909
1744	2368
2095	11225
2208	14522
1796	530
2824	17367
628	4541
2121	14124
1746	4956
1409	54
1130	7775
1553	2944
2479	16236
2142	3853
1637	11001
3484	22005
1997	2872
464	3518
1405	9626
2019	13571
2446	16068
3448	21768
1781	11826
2706	35
2468	16194
782	5485
1066	7379
2367	600
3526	22239
3505	1482
1005	6986
3330	21107
915	3737
24	126
3048	5797
1590	4356
2822	18267
857	1777
1863	12420
928	6347
1733	11593
1035	7223
1993	13411
1754	11680
250	1949
1967	13255
804	5618
3260	20614
3500	22084
1903	12702
822	5741
1791	87
2487	16294
460	294
2327	4255
2120	14116
3232	4272
259	2028
2783	18086
1312	8833
3165	1566
1874	12501
1234	7770
2658	17288
3536	22268
3418	21541
555	4020
1669	6113
2092	13986
1677	11303
1076	381
357	2851
2459	16177
1265	8621
2622	17160
2906	18686
3581	43
2477	247
2092	13981
969	2541
2452	16121
366	2907
157	1405
3461	3143
2587	16924
1360	9281
1356	9194
1314	8873
528	3837
901	6151
1173	465
646	4700
2584	1669
1265	8626
2521	16557
3149	6986
2687	4495
1293	8768
572	4147
147	1343
2365	15531
1958	13192
1156	7947
1512	3
1744	11462
2519	16536
1907	12758
1257	8573
303	2406
1060	4206
331	2612
2748	684
3426	21603
2901	7554
2070	13886
2268	14912
3018	19283
68	636
1017	7083
122	1104
2830	18372
2877	18548
3194	20155
2560	16746
2707	17593
1396	2086
2522	3128
2653	4314
2620	17082
1660	11136
3547	22322
83	750
2555	3360
837	1451
289	2254
2784	18091
2757	17950
1010	7037
728	5128
1977	3759
170	72
194	1647
30	209
1316	8882
280	156
2739	10599
2770	18009
2917	3065
2445	8490
1856	12381
644	4689
303	2408
209	1736
3548	22333
3188	20115
1380	9468
1854	12360
2208	14523
977	1615
2508	16436
3025	84
2826	8481
3051	6389
2107	1267
1836	12203
1840	12249
3039	2608
910	6194
1041	7274
33	318
1835	101
1376	9373
3573	22490
1682	480
1767	11739
272	2161
216	1768
2557	16730
1584	10666
3514	22169
3343	21204
575	4162
159	1431
1675	11256
3038	559
671	4870
2560	7011
543	3959
3451	21793
3269	20677
1785	11870
1862	25
307	2434
174	1558
3393	2876
3498	22074
896	3474
944	6437
1894	3
1943	13050
3240	20473
394	3126
514	3770
3401	21475
1885	12582
3475	21939
1950	13088
2197	14479
2444	16047
1215	8187
1537	10326
2605	316
1804	5559
435	3370
1579	10621
2351	15458
1711	3251
1879	12525
2136	14178
2193	14459
998	6897
366	2900
1468	9929
624	358
2519	16527
2676	17444
1835	12189
2025	13616
971	6592
2981	19068
413	3287
874	6018
2109	14072
1344	9089
276	2187
1327	8971
235	1855
1433	9787
2242	14731
2237	1043
1130	7782
123	1122
2701	17585
3526	22235
3503	22124
587	604
1742	11603
2521	16552
2675	13453
2517	16524
2872	18530
2134	14154
1895	12637
3299	14199
3096	19643
952	55
1546	10415
797	5573
842	4956
2653	800
3557	22429
2655	372
1912	12800
282	90
386	3023
1516	10218
1126	7720
3458	21840
279	2207
3000	34
1717	51
1233	83
1127	7723
3272	1055
3422	21573
1542	3397
847	5865
1076	7424
3192	20150
1607	10856
63	612
2651	16590
626	4524
2722	17669
84	754
1641	11031
2118	111
1797	11923
2393	15743
2163	14299
3444	11455
2968	18959
37	419
206	1715
1811	12011
2621	17130
148	1374
3330	21103
539	3926
2886	18581
2504	16410
147	1345
1429	9778
2895	18620
2658	17286
1923	12904
1478	10039
1218	4005
1542	1205
1923	12911
1941	13039
2951	18905
3116	19780
3105	3035
1642	11038
1502	10139
3229	20392
747	5238
1933	13001
3566	22467
982	6771
1557	10486
1855	12366
2139	14189
1101	3261
1916	10801
3547	22324
1967	2242
1109	7626
3316	2167
964	6554
129	1189
395	3130
2226	6960
2439	506
1444	9813
1867	12444
2971	16435
2617	1390
2971	15261
1087	79
2070	13874
1397	9552
2923	18787
2066	13843
1030	1566
1676	11287
1405	7011
145	1317
1700	11429
2965	18957
180	1587
676	766
22	91
1468	9921
2617	1016
1119	2553
2486	16292
2622	17155
1041	7268
2479	16237
2801	18178
1143	7871
1915	12822
1516	10211
2607	17017
3178	20024
3129	2652
2283	15068
1750	11671
2984	19095
676	4880
1810	12008
2452	16125
654	4744
1482	4307
2750	17923
1612	465
1637	10970
2248	14819
2390	15696
1327	8967
3064	19500
1388	9498
2148	14234
2725	17694
1684	908
336	2661
3395	2053
654	4750
2057	13793
2789	8548
1439	9799
767	5357
2112	2788
273	2169
3342	21202
581	4193
3441	13105
1955	13152
571	4134
757	5317
2679	17460
1937	13016
1946	13067
1173	8033
2443	16024
3259	20596
2444	16042
1680	11349
1379	9442
2265	14905
30	229
2303	15196
1946	13062
3492	22045
1421	111
558	4056
844	5862
2895	18618
1223	311
1859	12386
1068	3496
2521	710
1034	7205
161	1459
588	4236
2677	17453
509	3748
1148	7903
995	6845
2388	3765
216	25
203	1708
3263	2372
1578	2382
2381	15647
2380	15617
411	3260
1314	8859
1844	8368
1353	809
328	2594
600	4297
1127	7738
271	2137
2980	19046
1969	13272
1688	11393
1109	7623
3246	5061
2861	18481
2687	11049
522	3810
343	2704
262	2043
36	367
2124	14132
1542	10385
1637	10989
1831	12161
995	6848
1775	11785
978	6729
954	3145
898	6124
3210	20312
3341	1169
782	1110
1932	12977
460	3497
478	3590
1257	8557
2611	17047
2926	18801
1639	11012
2186	1554
1525	10283
578	4178
3415	5677
2758	17952
1542	241
3589	22575
1971	4206
87	777
2736	17787
3489	22031
2748	17876
654	4746
2436	15974
1995	6112
1080	1073
3433	21650
3513	43
2521	3447
345	2732
837	5822
1666	11178
1746	677
3136	19895
427	467
2660	17305
2145	12686
3025	19308
3304	18
1314	8861
287	2247
56	542
393	3122
3437	21665
2780	18065
562	4096
241	1872
106	940
1123	7690
3112	19744
293	2293
779	5457
1835	2944
2012	13544
779	5462
3342	21190
1143	7878
3474	21915
964	6561
3192	20149
245	1881
2736	13824
529	3194
1034	7208
1344	526
1134	7804
1916	1073
1982	13362
1808	3223
2276	14954
3129	19836
1482	10045
3299	20930
2807	18221
874	6031
533	3904
435	3368
2309	53
2024	13607
1020	7121
2610	17043
1566	10543
2723	17691
3134	19870
1233	8353
1329	6519
216	1758
1903	12697
990	6814
909	6180
1957	13187
168	1487
2055	13786
575	4156
831	5800
789	5549
33	314
2168	14335
3299	20942
1449	9842
3343	1026
932	6359
30	207
1542	10387
3012	8919
531	3890
3374	21376
1600	10814
2092	5022
3088	19604
2531	16619
3263	2225
3555	22386
2679	17462
3448	21763
2523	16573
2280	7
2929	18828
1130	7780
3336	21164
3002	13625
1723	11549
2974	19001
3210	20309
282	2223
2502	16374
584	4204
1943	13048
1298	8791
2975	19028
966	3145
1628	10925
419	474
3111	19733
2424	411
1563	7398
1148	7905
113	995
2605	16997
1908	12779
2396	15795
2098	14021
1105	7582
2147	14222
2508	6980
1662	11156
654	4718
3016	505
3557	18774
3368	21355
248	1917
572	4145
2654	5509
1522	10245
2617	16508
2245	14793
3343	12
3499	3751
3180	8484
1402	9590
1584	10652
3110	19718
2621	17135
